Worker_ID,Worker_Type,Home_Store_ID,Employment_Type,Home_Shift,Experience_Band,Join_Date,Weekly_Off_Day,Active_Flag
R_DS001_033,Rider,DS001,Regular,Evening,Senior,2024-08-06,5,True
R_DS001_034,Rider,DS001,Gig,Night,Senior,2025-04-05,6,True
R_DS001_035,Rider,DS001,Gig,Morning,Senior,2025-08-10,7,True
R_DS001_036,Rider,DS001,Gig,Evening,Senior,2025-07-15,1,True
R_DS001_037,Rider,DS001,Gig,Night,Senior,2025-11-29,2,True
R_DS001_038,Rider,DS001,Gig,Morning,Experienced,2026-02-25,3,True
R_DS001_039,Rider,DS001,Gig,Evening,Experienced,2025-07-30,4,True
R_DS001_040,Rider,DS001,Gig,Night,New,2024-09-11,5,True
R_DS001_041,Rider,DS001,Gig,Morning,New,2026-01-20,6,True
R_DS001_042,Rider,DS001,Gig,Evening,New,2025-03-23,7,True
R_DS001_043,Rider,DS001,Gig,Night,Experienced,2026-05-23,1,True
R_DS001_044,Rider,DS001,Regular,Morning,New,2025-08-15,2,True
R_DS001_045,Rider,DS001,Gig,Evening,Senior,2024-08-07,3,True
R_DS001_046,Rider,DS001,Gig,Night,New,2026-05-16,4,True
R_DS001_047,Rider,DS001,Gig,Morning,Experienced,2025-01-01,5,True
R_DS001_048,Rider,DS001,Gig,Evening,Senior,2024-12-30,6,True
R_DS001_049,Rider,DS001,Gig,Night,Senior,2024-09-28,7,True
R_DS001_050,Rider,DS001,Gig,Morning,Experienced,2025-06-07,1,True
R_DS001_051,Rider,DS001,Gig,Evening,New,2026-02-24,2,True
R_DS001_052,Rider,DS001,Gig,Night,Experienced,2026-02-13,3,True
R_DS001_053,Rider,DS001,Gig,Morning,New,2025-03-18,4,True
R_DS001_054,Rider,DS001,Gig,Evening,Senior,2025-08-11,5,True
R_DS001_055,Rider,DS001,Gig,Night,Experienced,2025-04-24,6,True
R_DS001_056,Rider,DS001,Gig,Morning,Experienced,2026-02-18,7,True
R_DS001_057,Rider,DS001,Gig,Evening,New,2026-03-25,1,True
R_DS001_058,Rider,DS001,Gig,Night,Senior,2024-09-02,2,True
R_DS001_059,Rider,DS001,Gig,Morning,Experienced,2025-12-17,3,True
R_DS001_060,Rider,DS001,Gig,Evening,Senior,2025-10-23,4,True
R_DS001_061,Rider,DS001,Gig,Night,Experienced,2025-05-18,5,True
R_DS001_062,Rider,DS001,Gig,Morning,New,2025-10-26,6,True
R_DS001_063,Rider,DS001,Gig,Evening,New,2025-01-02,7,True
R_DS001_064,Rider,DS001,Gig,Night,New,2025-04-28,1,True
R_DS001_065,Rider,DS001,Gig,Morning,Experienced,2026-03-15,2,True
R_DS001_066,Rider,DS001,Gig,Evening,Experienced,2026-04-18,3,True
R_DS001_067,Rider,DS001,Gig,Night,Experienced,2026-04-18,4,True
R_DS001_068,Rider,DS001,Gig,Morning,Experienced,2026-04-04,5,True
R_DS001_069,Rider,DS001,Gig,Evening,Experienced,2025-04-30,6,True
R_DS001_070,Rider,DS001,Gig,Night,Experienced,2025-12-09,7,True
R_DS001_071,Rider,DS001,Gig,Morning,New,2025-09-02,1,True
R_DS001_072,Rider,DS001,Gig,Evening,Experienced,2025-10-20,2,True
R_DS001_073,Rider,DS001,Gig,Night,Experienced,2026-02-15,3,True
R_DS001_074,Rider,DS001,Regular,Morning,Experienced,2025-09-18,4,True
R_DS001_075,Rider,DS001,Gig,Evening,Senior,2025-07-18,5,True
R_DS001_076,Rider,DS001,Gig,Night,New,2025-08-18,6,True
R_DS001_077,Rider,DS001,Gig,Morning,Experienced,2026-05-29,7,True
R_DS001_078,Rider,DS001,Gig,Evening,Experienced,2026-01-07,1,True
R_DS001_079,Rider,DS001,Gig,Night,Experienced,2026-03-16,2,True
R_DS001_080,Rider,DS001,Regular,Morning,Experienced,2026-03-22,3,True
R_DS001_081,Rider,DS001,Regular,Evening,New,2025-07-24,4,True
R_DS001_082,Rider,DS001,Gig,Night,Experienced,2024-12-20,5,True
R_DS001_083,Rider,DS001,Gig,Morning,Experienced,2024-08-28,6,True
R_DS001_084,Rider,DS001,Gig,Evening,Experienced,2024-12-17,7,True
R_DS001_085,Rider,DS001,Gig,Night,New,2024-12-28,1,True
R_DS001_086,Rider,DS001,Gig,Morning,Experienced,2025-01-27,2,True
R_DS001_087,Rider,DS001,Gig,Evening,Senior,2025-12-05,3,True
R_DS001_088,Rider,DS001,Regular,Night,Senior,2026-06-07,4,True
R_DS001_089,Rider,DS001,Gig,Morning,Experienced,2025-10-11,5,True
R_DS001_090,Rider,DS001,Gig,Evening,Experienced,2025-10-29,6,True
R_DS001_091,Rider,DS001,Regular,Night,Senior,2025-08-29,7,True
R_DS001_092,Rider,DS001,Gig,Morning,Experienced,2024-08-05,1,True
R_DS001_093,Rider,DS001,Gig,Evening,Senior,2025-04-13,2,True
R_DS001_094,Rider,DS001,Gig,Night,New,2026-03-30,3,True
R_DS001_095,Rider,DS001,Gig,Morning,New,2024-08-10,4,True
R_DS001_096,Rider,DS001,Gig,Evening,Experienced,2026-04-03,5,True
R_DS001_097,Rider,DS001,Gig,Night,Experienced,2024-11-01,6,True
R_DS001_098,Rider,DS001,Gig,Morning,New,2024-12-14,7,True
R_DS001_099,Rider,DS001,Gig,Evening,Experienced,2025-06-02,1,True
R_DS001_100,Rider,DS001,Regular,Night,New,2025-08-02,2,True
R_DS001_101,Rider,DS001,Gig,Morning,Senior,2025-10-19,3,True
R_DS001_102,Rider,DS001,Gig,Evening,New,2026-04-18,4,True
R_DS001_103,Rider,DS001,Gig,Night,Senior,2025-06-13,5,True
R_DS001_104,Rider,DS001,Gig,Morning,Senior,2024-11-13,6,True
R_DS001_105,Rider,DS001,Gig,Evening,Experienced,2024-09-02,7,True
R_DS001_106,Rider,DS001,Gig,Night,Experienced,2024-08-19,1,True
R_DS001_107,Rider,DS001,Gig,Morning,Senior,2025-12-04,2,True
R_DS001_108,Rider,DS001,Gig,Evening,Experienced,2025-08-10,3,True
R_DS001_109,Rider,DS001,Gig,Night,Experienced,2024-09-09,4,True
R_DS001_110,Rider,DS001,Regular,Morning,New,2024-11-05,5,True
R_DS001_111,Rider,DS001,Gig,Evening,New,2025-12-20,6,True
R_DS001_112,Rider,DS001,Gig,Night,Experienced,2026-01-27,7,True
R_DS001_113,Rider,DS001,Regular,Morning,New,2024-11-27,1,True
R_DS001_114,Rider,DS001,Gig,Evening,Experienced,2025-01-04,2,True
R_DS001_115,Rider,DS001,Gig,Night,Experienced,2026-05-07,3,True
R_DS001_116,Rider,DS001,Gig,Morning,Experienced,2025-03-12,4,True
R_DS001_117,Rider,DS001,Gig,Evening,Experienced,2026-01-02,5,True
R_DS001_118,Rider,DS001,Gig,Night,Senior,2025-12-13,6,True
R_DS001_119,Rider,DS001,Regular,Morning,Experienced,2025-07-14,7,True
R_DS001_120,Rider,DS001,Gig,Evening,Senior,2026-01-12,1,True
R_DS001_121,Rider,DS001,Gig,Night,Experienced,2025-08-08,2,True
R_DS001_122,Rider,DS001,Gig,Morning,Experienced,2026-05-15,3,True
R_DS001_123,Rider,DS001,Gig,Evening,Senior,2025-04-08,4,True
R_DS001_124,Rider,DS001,Gig,Night,Experienced,2025-08-14,5,True
R_DS001_125,Rider,DS001,Gig,Morning,Experienced,2026-06-11,6,True
R_DS001_126,Rider,DS001,Gig,Evening,Experienced,2024-10-26,7,True
R_DS001_127,Rider,DS001,Gig,Night,New,2024-08-08,1,True
R_DS001_128,Rider,DS001,Gig,Morning,Experienced,2025-06-20,2,True
R_DS001_129,Rider,DS001,Gig,Evening,Experienced,2026-05-04,3,True
R_DS001_130,Rider,DS001,Gig,Night,Experienced,2025-01-27,4,True
R_DS001_131,Rider,DS001,Gig,Morning,Senior,2025-04-29,5,True
R_DS001_132,Rider,DS001,Gig,Evening,Experienced,2026-05-15,6,True
R_DS001_133,Rider,DS001,Gig,Night,Experienced,2025-05-15,7,True
R_DS001_134,Rider,DS001,Regular,Morning,Senior,2024-09-12,1,True
R_DS001_135,Rider,DS001,Gig,Evening,New,2026-05-30,2,True
R_DS001_136,Rider,DS001,Gig,Night,Experienced,2025-08-02,3,True
R_DS001_137,Rider,DS001,Gig,Morning,Experienced,2026-02-01,4,True
R_DS001_138,Rider,DS001,Gig,Evening,Experienced,2024-09-23,5,True
R_DS001_139,Rider,DS001,Gig,Night,Experienced,2025-02-19,6,True
R_DS001_140,Rider,DS001,Gig,Morning,New,2024-09-19,7,True
R_DS001_141,Rider,DS001,Gig,Evening,New,2025-06-20,1,True
R_DS001_142,Rider,DS001,Gig,Night,New,2026-01-07,2,True
R_DS001_143,Rider,DS001,Gig,Morning,New,2026-04-26,3,True
R_DS001_144,Rider,DS001,Gig,Evening,Senior,2025-12-11,4,True
R_DS001_145,Rider,DS001,Gig,Night,Experienced,2026-05-23,5,True
R_DS001_146,Rider,DS001,Gig,Morning,Experienced,2025-12-11,6,True
R_DS001_147,Rider,DS001,Regular,Evening,Experienced,2025-09-14,7,True
R_DS001_148,Rider,DS001,Gig,Night,Experienced,2026-05-15,1,True
R_DS001_149,Rider,DS001,Gig,Morning,New,2025-08-19,2,True
R_DS001_150,Rider,DS001,Gig,Evening,Experienced,2024-10-04,3,True
R_DS001_151,Rider,DS001,Gig,Night,Experienced,2026-05-31,4,True
R_DS001_152,Rider,DS001,Gig,Morning,Experienced,2025-01-09,5,True
R_DS001_153,Rider,DS001,Gig,Evening,Experienced,2025-11-29,6,True
R_DS001_154,Rider,DS001,Gig,Night,Experienced,2025-04-10,7,True
R_DS001_155,Rider,DS001,Gig,Morning,New,2025-07-27,1,True
R_DS001_156,Rider,DS001,Regular,Evening,Experienced,2026-05-19,2,True
R_DS001_157,Rider,DS001,Gig,Night,Experienced,2025-05-27,3,True
R_DS001_158,Rider,DS001,Gig,Morning,New,2025-10-15,4,True
R_DS001_159,Rider,DS001,Gig,Evening,Senior,2024-11-27,5,True
R_DS001_160,Rider,DS001,Regular,Night,Experienced,2025-04-24,6,True
R_DS001_161,Rider,DS001,Gig,Morning,Experienced,2025-10-07,7,True
R_DS001_162,Rider,DS001,Gig,Evening,Senior,2025-10-14,1,True
R_DS001_163,Rider,DS001,Gig,Night,New,2026-02-11,2,True
R_DS001_164,Rider,DS001,Gig,Morning,Experienced,2024-12-06,3,True
R_DS001_165,Rider,DS001,Gig,Evening,Experienced,2024-12-01,4,True
P_DS002_001,Picker,DS002,Regular,Night,Senior,2024-12-03,1,True
P_DS002_002,Picker,DS002,Regular,Morning,Experienced,2025-03-25,2,True
P_DS002_003,Picker,DS002,Regular,Evening,New,2026-01-23,3,True
P_DS002_004,Picker,DS002,Regular,Night,New,2025-11-30,4,True
P_DS002_005,Picker,DS002,Regular,Morning,Experienced,2025-12-10,5,True
P_DS002_006,Picker,DS002,Regular,Evening,Experienced,2026-04-09,6,True
P_DS002_007,Picker,DS002,Regular,Night,New,2024-06-19,7,True
P_DS002_008,Picker,DS002,Regular,Morning,Experienced,2026-02-15,1,True
P_DS002_009,Picker,DS002,Regular,Evening,Senior,2024-04-23,2,True
P_DS002_010,Picker,DS002,Regular,Night,Experienced,2024-03-14,3,True
P_DS002_011,Picker,DS002,Regular,Morning,Experienced,2024-09-17,4,True
P_DS002_012,Picker,DS002,Regular,Evening,Senior,2025-01-02,5,True
P_DS002_013,Picker,DS002,Regular,Night,Experienced,2024-02-10,6,True
P_DS002_014,Picker,DS002,Regular,Morning,New,2026-04-29,7,True
P_DS002_015,Picker,DS002,Regular,Evening,New,2024-04-06,1,True
P_DS002_016,Picker,DS002,Regular,Night,New,2026-02-27,2,True
P_DS002_017,Picker,DS002,Regular,Morning,Senior,2024-05-12,3,True
P_DS002_018,Picker,DS002,Regular,Evening,Senior,2024-11-19,4,True
P_DS002_019,Picker,DS002,Regular,Night,Senior,2025-10-19,5,True
P_DS002_020,Picker,DS002,Regular,Morning,Experienced,2024-06-02,6,True
P_DS002_021,Picker,DS002,Regular,Evening,New,2025-09-28,7,True
P_DS002_022,Picker,DS002,Regular,Night,New,2024-08-22,1,True
P_DS002_023,Picker,DS002,Regular,Morning,Senior,2026-04-08,2,True
P_DS002_024,Picker,DS002,Regular,Evening,Senior,2026-01-05,3,True
P_DS002_025,Picker,DS002,Regular,Night,Senior,2024-04-27,4,True
P_DS002_026,Picker,DS002,Regular,Morning,Experienced,2024-02-18,5,True
P_DS002_027,Picker,DS002,Regular,Evening,Experienced,2026-05-04,6,True
P_DS002_028,Picker,DS002,Regular,Night,New,2024-11-24,7,True
P_DS002_029,Picker,DS002,Regular,Morning,Experienced,2025-01-10,1,True
P_DS002_030,Picker,DS002,Regular,Evening,Senior,2025-09-03,2,True
P_DS002_031,Picker,DS002,Regular,Night,New,2025-06-25,3,True
P_DS002_032,Picker,DS002,Regular,Morning,New,2025-02-04,4,True
P_DS002_033,Picker,DS002,Regular,Evening,Experienced,2024-06-26,5,True
P_DS002_034,Picker,DS002,Regular,Night,New,2024-10-16,6,True
R_DS002_001,Rider,DS002,Gig,Night,Experienced,2024-10-04,1,True
R_DS002_002,Rider,DS002,Gig,Morning,New,2025-02-18,2,True
R_DS002_003,Rider,DS002,Gig,Evening,Experienced,2024-11-15,3,True
R_DS002_004,Rider,DS002,Gig,Night,Experienced,2026-04-04,4,True
R_DS002_005,Rider,DS002,Gig,Morning,Senior,2026-05-01,5,True
R_DS002_006,Rider,DS002,Gig,Evening,Experienced,2026-02-23,6,True
R_DS002_007,Rider,DS002,Regular,Night,Experienced,2025-06-07,7,True
R_DS002_008,Rider,DS002,Gig,Morning,Experienced,2026-03-18,1,True
R_DS002_009,Rider,DS002,Gig,Evening,New,2025-12-06,2,True
R_DS002_010,Rider,DS002,Gig,Night,Experienced,2025-10-02,3,True
R_DS002_011,Rider,DS002,Gig,Morning,Experienced,2026-01-13,4,True
R_DS002_012,Rider,DS002,Gig,Evening,Experienced,2025-11-16,5,True
R_DS002_013,Rider,DS002,Gig,Night,Experienced,2026-01-19,6,True
R_DS002_014,Rider,DS002,Gig,Morning,Experienced,2024-10-18,7,True
R_DS002_015,Rider,DS002,Gig,Evening,New,2025-08-08,1,True
R_DS002_016,Rider,DS002,Gig,Night,Experienced,2025-12-22,2,True
R_DS002_017,Rider,DS002,Gig,Morning,New,2025-04-08,3,True
R_DS002_018,Rider,DS002,Regular,Evening,Senior,2025-08-04,4,True
R_DS002_019,Rider,DS002,Regular,Night,Experienced,2024-11-21,5,True
R_DS002_020,Rider,DS002,Gig,Morning,Experienced,2025-12-27,6,True
R_DS002_021,Rider,DS002,Gig,Evening,New,2025-12-06,7,True
R_DS002_022,Rider,DS002,Regular,Night,Experienced,2025-02-24,1,True
R_DS002_023,Rider,DS002,Gig,Morning,Experienced,2025-07-21,2,True
R_DS002_024,Rider,DS002,Gig,Evening,Experienced,2025-01-01,3,True
R_DS002_025,Rider,DS002,Gig,Night,New,2025-04-23,4,True
R_DS002_026,Rider,DS002,Gig,Morning,Experienced,2025-12-29,5,True
R_DS002_027,Rider,DS002,Gig,Evening,Experienced,2024-10-01,6,True
R_DS002_028,Rider,DS002,Regular,Night,New,2025-08-06,7,True
R_DS002_029,Rider,DS002,Regular,Morning,New,2026-03-02,1,True
R_DS002_030,Rider,DS002,Gig,Evening,Experienced,2025-09-02,2,True
R_DS002_031,Rider,DS002,Gig,Night,Experienced,2025-06-04,3,True
R_DS002_032,Rider,DS002,Gig,Morning,Senior,2025-11-11,4,True
R_DS002_033,Rider,DS002,Gig,Evening,Experienced,2025-11-07,5,True
R_DS002_034,Rider,DS002,Regular,Night,Senior,2024-10-15,6,True
R_DS002_035,Rider,DS002,Gig,Morning,New,2025-09-28,7,True
R_DS002_036,Rider,DS002,Gig,Evening,Experienced,2026-04-19,1,True
R_DS002_037,Rider,DS002,Gig,Night,Senior,2025-01-01,2,True
R_DS002_038,Rider,DS002,Gig,Morning,New,2024-10-16,3,True
R_DS002_039,Rider,DS002,Regular,Evening,Experienced,2026-04-10,4,True
R_DS002_040,Rider,DS002,Gig,Night,Experienced,2025-05-13,5,True
R_DS002_041,Rider,DS002,Gig,Morning,New,2026-03-22,6,True
R_DS002_042,Rider,DS002,Gig,Evening,Experienced,2025-09-23,7,True
R_DS002_043,Rider,DS002,Gig,Night,Senior,2025-10-27,1,True
R_DS002_044,Rider,DS002,Gig,Morning,Experienced,2025-04-16,2,True
R_DS002_045,Rider,DS002,Regular,Evening,Experienced,2024-11-03,3,True
R_DS002_046,Rider,DS002,Regular,Night,Experienced,2024-10-05,4,True
R_DS002_047,Rider,DS002,Gig,Morning,Experienced,2024-10-26,5,True
R_DS002_048,Rider,DS002,Gig,Evening,New,2024-11-15,6,True
R_DS002_049,Rider,DS002,Gig,Night,Experienced,2025-08-20,7,True
R_DS002_050,Rider,DS002,Regular,Morning,Experienced,2025-06-11,1,True
R_DS002_051,Rider,DS002,Gig,Evening,Experienced,2025-01-24,2,True
R_DS002_052,Rider,DS002,Gig,Night,Experienced,2025-09-03,3,True
R_DS002_053,Rider,DS002,Gig,Morning,Experienced,2026-01-29,4,True
R_DS002_054,Rider,DS002,Gig,Evening,New,2025-03-21,5,True
R_DS002_055,Rider,DS002,Gig,Night,Experienced,2025-01-11,6,True
R_DS002_056,Rider,DS002,Gig,Morning,Experienced,2025-06-07,7,True
R_DS002_057,Rider,DS002,Regular,Evening,New,2024-09-17,1,True
R_DS002_058,Rider,DS002,Gig,Night,Experienced,2026-04-26,2,True
R_DS002_059,Rider,DS002,Gig,Morning,Senior,2025-08-11,3,True
R_DS002_060,Rider,DS002,Gig,Evening,Experienced,2025-11-22,4,True
R_DS002_061,Rider,DS002,Gig,Night,Experienced,2026-03-24,5,True
R_DS002_062,Rider,DS002,Gig,Morning,Senior,2025-01-10,6,True
R_DS002_063,Rider,DS002,Gig,Evening,Senior,2025-01-08,7,True
R_DS002_064,Rider,DS002,Gig,Night,Experienced,2025-08-07,1,True
R_DS002_065,Rider,DS002,Gig,Morning,Senior,2026-03-27,2,True
R_DS002_066,Rider,DS002,Gig,Evening,Experienced,2025-01-26,3,True
R_DS002_067,Rider,DS002,Gig,Night,New,2026-03-30,4,True
R_DS002_068,Rider,DS002,Gig,Morning,Experienced,2024-11-16,5,True
R_DS002_069,Rider,DS002,Gig,Evening,Experienced,2026-06-14,6,True
R_DS002_070,Rider,DS002,Gig,Night,Experienced,2024-09-22,7,True
R_DS002_071,Rider,DS002,Gig,Morning,Experienced,2026-03-19,1,True
R_DS002_072,Rider,DS002,Gig,Evening,New,2024-08-06,2,True
R_DS002_073,Rider,DS002,Gig,Night,New,2024-11-05,3,True
R_DS002_074,Rider,DS002,Gig,Morning,Senior,2025-10-20,4,True
R_DS002_075,Rider,DS002,Gig,Evening,Experienced,2025-12-17,5,True
R_DS002_076,Rider,DS002,Gig,Night,Senior,2024-10-30,6,True
R_DS002_077,Rider,DS002,Gig,Morning,Senior,2026-04-06,7,True
R_DS002_078,Rider,DS002,Gig,Evening,Experienced,2025-05-29,1,True
R_DS002_079,Rider,DS002,Gig,Night,Experienced,2026-03-22,2,True
R_DS002_080,Rider,DS002,Gig,Morning,Senior,2024-10-19,3,True
R_DS002_081,Rider,DS002,Gig,Evening,Experienced,2026-05-23,4,True
R_DS002_082,Rider,DS002,Gig,Night,Experienced,2025-09-09,5,True
R_DS002_083,Rider,DS002,Gig,Morning,Senior,2026-03-29,6,True
R_DS002_084,Rider,DS002,Gig,Evening,Experienced,2024-12-29,7,True
R_DS002_085,Rider,DS002,Gig,Night,Experienced,2025-02-07,1,True
R_DS002_086,Rider,DS002,Gig,Morning,Senior,2024-10-04,2,True
R_DS002_087,Rider,DS002,Gig,Evening,New,2026-04-28,3,True
R_DS002_088,Rider,DS002,Gig,Night,Experienced,2025-09-01,4,True
R_DS002_089,Rider,DS002,Regular,Morning,New,2026-06-07,5,True
R_DS002_090,Rider,DS002,Gig,Evening,New,2025-04-26,6,True
R_DS002_091,Rider,DS002,Gig,Night,Senior,2026-03-02,7,True
R_DS002_092,Rider,DS002,Gig,Morning,Experienced,2025-01-12,1,True
R_DS002_093,Rider,DS002,Regular,Evening,Experienced,2025-09-20,2,True
R_DS002_094,Rider,DS002,Gig,Night,New,2024-11-13,3,True
R_DS002_095,Rider,DS002,Gig,Morning,Senior,2026-03-13,4,True
R_DS002_096,Rider,DS002,Gig,Evening,Experienced,2026-05-15,5,True
R_DS002_097,Rider,DS002,Gig,Night,New,2024-10-26,6,True
R_DS002_098,Rider,DS002,Gig,Morning,Experienced,2026-03-14,7,True
R_DS002_099,Rider,DS002,Gig,Evening,Senior,2025-10-25,1,True
R_DS002_100,Rider,DS002,Regular,Night,Senior,2025-06-27,2,True
R_DS002_101,Rider,DS002,Gig,Morning,Experienced,2025-06-24,3,True
R_DS002_102,Rider,DS002,Gig,Evening,Experienced,2025-01-11,4,True
R_DS002_103,Rider,DS002,Gig,Night,Experienced,2025-02-05,5,True
R_DS002_104,Rider,DS002,Gig,Morning,Experienced,2026-04-26,6,True
R_DS002_105,Rider,DS002,Gig,Evening,Experienced,2026-02-10,7,True
R_DS002_106,Rider,DS002,Gig,Night,Experienced,2025-08-22,1,True
R_DS002_107,Rider,DS002,Gig,Morning,Experienced,2026-04-07,2,True
R_DS002_108,Rider,DS002,Gig,Evening,Senior,2025-03-20,3,True
R_DS002_109,Rider,DS002,Regular,Night,Experienced,2025-01-28,4,True
R_DS002_110,Rider,DS002,Gig,Morning,New,2025-01-23,5,True
R_DS002_111,Rider,DS002,Gig,Evening,Experienced,2026-01-17,6,True
R_DS002_112,Rider,DS002,Regular,Night,Experienced,2026-04-17,7,True
R_DS002_113,Rider,DS002,Gig,Morning,Experienced,2025-07-03,1,True
R_DS002_114,Rider,DS002,Regular,Evening,Experienced,2026-04-17,2,True
R_DS002_115,Rider,DS002,Gig,Night,Experienced,2025-01-25,3,True
R_DS002_116,Rider,DS002,Gig,Morning,Experienced,2026-04-22,4,True
R_DS002_117,Rider,DS002,Gig,Evening,Experienced,2025-07-29,5,True
R_DS002_118,Rider,DS002,Regular,Night,Senior,2025-02-15,6,True
R_DS002_119,Rider,DS002,Gig,Morning,New,2025-03-22,7,True
R_DS002_120,Rider,DS002,Gig,Evening,Experienced,2024-08-20,1,True
R_DS002_121,Rider,DS002,Gig,Night,Experienced,2025-11-16,2,True
R_DS002_122,Rider,DS002,Gig,Morning,Senior,2024-08-30,3,True
