Shift_ID,Worker_ID,Worker_Type,Store_ID,Shift_Date,Shift_Name,OD_Flag,Scheduled_Start,Scheduled_End,Actual_Login,Actual_Logout,Attendance_Status,Scheduled_Hours,Logged_Hours
SH00000020,P_DS001_023,Picker,DS001,2026-07-01,Morning,False,2026-07-01 08:00:00,2026-07-01 17:00:00,2026-07-01 08:00:00,2026-07-01 17:00:00,Present,9.0,9.0
SH00000021,P_DS001_025,Picker,DS001,2026-07-01,Night,False,2026-07-01 00:00:00,2026-07-01 09:00:00,,,Absent,9.0,0.0
SH00000022,P_DS001_026,Picker,DS001,2026-07-01,Morning,False,2026-07-01 08:00:00,2026-07-01 17:00:00,2026-07-01 08:00:00,2026-07-01 17:00:00,Present,9.0,9.0
SH00000023,P_DS001_027,Picker,DS001,2026-07-01,Evening,False,2026-07-01 16:00:00,2026-07-02 01:00:00,2026-07-01 16:00:00,2026-07-02 01:00:00,Present,9.0,9.0
SH00000024,P_DS001_028,Picker,DS001,2026-07-01,Night,False,2026-07-01 00:00:00,2026-07-01 09:00:00,2026-07-01 00:00:00,2026-07-01 09:00:00,Present,9.0,9.0
SH00000025,P_DS001_029,Picker,DS001,2026-07-01,Morning,False,2026-07-01 08:00:00,2026-07-01 17:00:00,2026-07-01 08:00:00,2026-07-01 17:00:00,Present,9.0,9.0
SH00000026,P_DS001_030,Picker,DS001,2026-07-01,Evening,False,2026-07-01 16:00:00,2026-07-02 01:00:00,2026-07-01 16:00:00,2026-07-02 01:00:00,Present,9.0,9.0
SH00000027,P_DS001_032,Picker,DS001,2026-07-01,Morning,False,2026-07-01 08:00:00,2026-07-01 17:00:00,2026-07-01 08:00:00,2026-07-01 17:00:00,Present,9.0,9.0
SH00000028,P_DS001_033,Picker,DS001,2026-07-01,Evening,False,2026-07-01 16:00:00,2026-07-02 01:00:00,2026-07-01 16:00:00,2026-07-02 01:00:00,Present,9.0,9.0
SH00000029,P_DS001_034,Picker,DS001,2026-07-01,Night,False,2026-07-01 00:00:00,2026-07-01 09:00:00,,,Absent,9.0,0.0
SH00000030,P_DS001_035,Picker,DS001,2026-07-01,Morning,False,2026-07-01 08:00:00,2026-07-01 17:00:00,2026-07-01 08:17:00,2026-07-01 17:00:00,Late,9.0,8.716666666666667
SH00000031,P_DS001_036,Picker,DS001,2026-07-01,Evening,False,2026-07-01 16:00:00,2026-07-02 01:00:00,,,Absent,9.0,0.0
SH00000032,R_DS001_001,Rider,DS001,2026-07-01,Night,False,2026-07-01 00:00:00,2026-07-01 09:00:00,2026-07-01 00:00:00,2026-07-01 09:00:00,Present,9.0,9.0
SH00000033,R_DS001_002,Rider,DS001,2026-07-01,Morning,False,2026-07-01 08:00:00,2026-07-01 17:00:00,2026-07-01 08:00:00,2026-07-01 17:00:00,Present,9.0,9.0
SH00000034,R_DS001_004,Rider,DS001,2026-07-01,Night,False,2026-07-01 00:00:00,2026-07-01 09:00:00,2026-07-01 00:00:00,2026-07-01 09:00:00,Present,9.0,9.0
SH00000035,R_DS001_006,Rider,DS001,2026-07-01,Evening,False,2026-07-01 16:00:00,2026-07-02 01:00:00,2026-07-01 16:00:00,2026-07-02 01:00:00,Present,9.0,9.0
SH00000036,R_DS001_007,Rider,DS001,2026-07-01,Night,False,2026-07-01 00:00:00,2026-07-01 09:00:00,,,Absent,9.0,0.0
SH00000037,R_DS001_008,Rider,DS001,2026-07-01,Morning,False,2026-07-01 08:00:00,2026-07-01 17:00:00,2026-07-01 08:00:00,2026-07-01 17:00:00,Present,9.0,9.0
SH00000038,R_DS001_009,Rider,DS001,2026-07-01,Evening,False,2026-07-01 16:00:00,2026-07-02 01:00:00,2026-07-01 16:10:00,2026-07-02 01:00:00,Late,9.0,8.833333333333334
SH00000039,R_DS001_011,Rider,DS001,2026-07-01,Morning,False,2026-07-01 08:00:00,2026-07-01 17:00:00,2026-07-01 08:00:00,2026-07-01 17:00:00,Present,9.0,9.0
SH00000040,R_DS001_012,Rider,DS001,2026-07-01,Evening,False,2026-07-01 16:00:00,2026-07-02 01:00:00,2026-07-01 16:00:00,2026-07-02 01:00:00,Present,9.0,9.0
SH00000041,R_DS001_014,Rider,DS001,2026-07-01,Morning,False,2026-07-01 08:00:00,2026-07-01 17:00:00,2026-07-01 08:20:00,2026-07-01 17:00:00,Late,9.0,8.666666666666666
SH00000042,R_DS001_015,Rider,DS001,2026-07-01,Evening,False,2026-07-01 16:00:00,2026-07-02 01:00:00,2026-07-01 16:00:00,2026-07-02 01:00:00,Present,9.0,9.0
SH00000043,R_DS001_016,Rider,DS001,2026-07-01,Night,False,2026-07-01 00:00:00,2026-07-01 09:00:00,2026-07-01 00:00:00,2026-07-01 09:00:00,Present,9.0,9.0
SH00000044,R_DS001_018,Rider,DS001,2026-07-01,Evening,False,2026-07-01 16:00:00,2026-07-02 01:00:00,,,Absent,9.0,0.0
SH00000045,R_DS001_019,Rider,DS001,2026-07-01,Night,False,2026-07-01 00:00:00,2026-07-01 09:00:00,2026-07-01 00:00:00,2026-07-01 09:00:00,Present,9.0,9.0
SH00000046,R_DS001_020,Rider,DS001,2026-07-01,Morning,False,2026-07-01 08:00:00,2026-07-01 17:00:00,2026-07-01 08:00:00,2026-07-01 17:00:00,Present,9.0,9.0
SH00000047,R_DS001_021,Rider,DS001,2026-07-01,Evening,False,2026-07-01 16:00:00,2026-07-02 01:00:00,,,Absent,9.0,0.0
SH00000048,R_DS001_022,Rider,DS001,2026-07-01,Night,False,2026-07-01 00:00:00,2026-07-01 09:00:00,2026-07-01 00:00:00,2026-07-01 09:00:00,Present,9.0,9.0
SH00000049,R_DS001_023,Rider,DS001,2026-07-01,Morning,False,2026-07-01 08:00:00,2026-07-01 17:00:00,2026-07-01 08:00:00,2026-07-01 17:00:00,Present,9.0,9.0
SH00000050,R_DS001_025,Rider,DS001,2026-07-01,Night,False,2026-07-01 00:00:00,2026-07-01 09:00:00,,,Absent,9.0,0.0
SH00000051,R_DS001_026,Rider,DS001,2026-07-01,Morning,False,2026-07-01 08:00:00,2026-07-01 17:00:00,2026-07-01 08:00:00,2026-07-01 17:00:00,Present,9.0,9.0
SH00000052,R_DS001_027,Rider,DS001,2026-07-01,Evening,False,2026-07-01 16:00:00,2026-07-02 01:00:00,2026-07-01 16:00:00,2026-07-02 01:00:00,Present,9.0,9.0
SH00000053,R_DS001_029,Rider,DS001,2026-07-01,Morning,False,2026-07-01 08:00:00,2026-07-01 17:00:00,,,Absent,9.0,0.0
SH00000054,R_DS001_030,Rider,DS001,2026-07-01,Evening,False,2026-07-01 16:00:00,2026-07-02 01:00:00,2026-07-01 16:00:00,2026-07-02 01:00:00,Present,9.0,9.0
SH00000055,R_DS001_032,Rider,DS001,2026-07-01,Morning,False,2026-07-01 08:00:00,2026-07-01 17:00:00,2026-07-01 08:00:00,2026-07-01 17:00:00,Present,9.0,9.0
SH00000056,R_DS001_033,Rider,DS001,2026-07-01,Evening,False,2026-07-01 16:00:00,2026-07-02 01:00:00,2026-07-01 16:00:00,2026-07-02 01:00:00,Present,9.0,9.0
SH00000057,R_DS001_035,Rider,DS001,2026-07-01,Morning,False,2026-07-01 08:00:00,2026-07-01 17:00:00,2026-07-01 08:00:00,2026-07-01 17:00:00,Present,9.0,9.0
SH00000058,R_DS001_036,Rider,DS001,2026-07-01,Evening,False,2026-07-01 16:00:00,2026-07-02 01:00:00,2026-07-01 16:00:00,2026-07-02 01:00:00,Present,9.0,9.0
SH00000059,R_DS001_037,Rider,DS001,2026-07-01,Night,False,2026-07-01 00:00:00,2026-07-01 09:00:00,2026-07-01 00:00:00,2026-07-01 09:00:00,Present,9.0,9.0
SH00000060,R_DS001_039,Rider,DS001,2026-07-01,Evening,False,2026-07-01 16:00:00,2026-07-02 01:00:00,2026-07-01 16:00:00,2026-07-02 00:39:00,Early Logout,9.0,8.65
SH00000061,R_DS001_042,Rider,DS001,2026-07-01,Evening,False,2026-07-01 16:00:00,2026-07-02 01:00:00,,,Absent,9.0,0.0
SH00000062,R_DS001_043,Rider,DS001,2026-07-01,Night,False,2026-07-01 00:00:00,2026-07-01 09:00:00,2026-07-01 00:00:00,2026-07-01 09:00:00,Present,9.0,9.0
SH00000063,R_DS001_044,Rider,DS001,2026-07-01,Morning,False,2026-07-01 08:00:00,2026-07-01 17:00:00,2026-07-01 08:00:00,2026-07-01 17:00:00,Present,9.0,9.0
SH00000064,R_DS001_047,Rider,DS001,2026-07-01,Morning,False,2026-07-01 08:00:00,2026-07-01 17:00:00,2026-07-01 08:00:00,2026-07-01 17:00:00,Present,9.0,9.0
SH00000065,R_DS001_048,Rider,DS001,2026-07-01,Evening,False,2026-07-01 16:00:00,2026-07-02 01:00:00,2026-07-01 16:00:00,2026-07-02 01:00:00,Present,9.0,9.0
SH00000066,R_DS001_049,Rider,DS001,2026-07-01,Night,False,2026-07-01 00:00:00,2026-07-01 09:00:00,,,Absent,9.0,0.0
SH00000067,R_DS001_050,Rider,DS001,2026-07-01,Morning,False,2026-07-01 08:00:00,2026-07-01 17:00:00,2026-07-01 08:28:00,2026-07-01 17:00:00,Late,9.0,8.533333333333333
SH00000068,R_DS001_051,Rider,DS001,2026-07-01,Evening,False,2026-07-01 16:00:00,2026-07-02 01:00:00,2026-07-01 16:00:00,2026-07-02 01:00:00,Present,9.0,9.0
SH00000069,R_DS001_053,Rider,DS001,2026-07-01,Morning,False,2026-07-01 08:00:00,2026-07-01 17:00:00,2026-07-01 08:00:00,2026-07-01 17:00:00,Present,9.0,9.0
SH00000070,R_DS001_054,Rider,DS001,2026-07-01,Evening,False,2026-07-01 16:00:00,2026-07-02 01:00:00,2026-07-01 16:00:00,2026-07-02 01:00:00,Present,9.0,9.0
SH00000071,R_DS001_055,Rider,DS001,2026-07-01,Night,False,2026-07-01 00:00:00,2026-07-01 09:00:00,2026-07-01 00:00:00,2026-07-01 09:00:00,Present,9.0,9.0
SH00000072,R_DS001_056,Rider,DS001,2026-07-01,Morning,False,2026-07-01 08:00:00,2026-07-01 17:00:00,,,Absent,9.0,0.0
SH00000073,R_DS001_057,Rider,DS001,2026-07-01,Evening,False,2026-07-01 16:00:00,2026-07-02 01:00:00,2026-07-01 16:00:00,2026-07-02 01:00:00,Present,9.0,9.0
SH00000074,R_DS001_058,Rider,DS001,2026-07-01,Night,False,2026-07-01 00:00:00,2026-07-01 09:00:00,2026-07-01 00:36:00,2026-07-01 09:00:00,Late,9.0,8.4
SH00000075,R_DS001_060,Rider,DS001,2026-07-01,Evening,False,2026-07-01 16:00:00,2026-07-02 01:00:00,2026-07-01 16:00:00,2026-07-02 01:00:00,Present,9.0,9.0
SH00000076,R_DS001_063,Rider,DS001,2026-07-01,Evening,False,2026-07-01 16:00:00,2026-07-02 01:00:00,2026-07-01 16:00:00,2026-07-02 01:00:00,Present,9.0,9.0
SH00000077,R_DS001_064,Rider,DS001,2026-07-01,Night,False,2026-07-01 00:00:00,2026-07-01 09:00:00,2026-07-01 00:00:00,2026-07-01 09:00:00,Present,9.0,9.0
SH00000078,R_DS001_065,Rider,DS001,2026-07-01,Morning,False,2026-07-01 08:00:00,2026-07-01 17:00:00,2026-07-01 08:00:00,2026-07-01 17:00:00,Present,9.0,9.0
SH00000079,R_DS001_067,Rider,DS001,2026-07-01,Night,False,2026-07-01 00:00:00,2026-07-01 09:00:00,2026-07-01 00:00:00,2026-07-01 09:00:00,Present,9.0,9.0
SH00000080,R_DS001_068,Rider,DS001,2026-07-01,Morning,False,2026-07-01 08:00:00,2026-07-01 17:00:00,2026-07-01 08:00:00,2026-07-01 17:00:00,Present,9.0,9.0
SH00000081,R_DS001_069,Rider,DS001,2026-07-01,Evening,False,2026-07-01 16:00:00,2026-07-02 01:00:00,2026-07-01 16:00:00,2026-07-02 01:00:00,Present,9.0,9.0
SH00000082,R_DS001_070,Rider,DS001,2026-07-01,Night,False,2026-07-01 00:00:00,2026-07-01 09:00:00,2026-07-01 00:00:00,2026-07-01 09:00:00,Present,9.0,9.0
SH00000083,R_DS001_072,Rider,DS001,2026-07-01,Evening,False,2026-07-01 16:00:00,2026-07-02 01:00:00,2026-07-01 16:00:00,2026-07-02 01:00:00,Present,9.0,9.0
SH00000084,R_DS001_074,Rider,DS001,2026-07-01,Morning,False,2026-07-01 08:00:00,2026-07-01 17:00:00,2026-07-01 08:00:00,2026-07-01 16:19:00,Early Logout,9.0,8.316666666666666
SH00000085,R_DS001_075,Rider,DS001,2026-07-01,Evening,False,2026-07-01 16:00:00,2026-07-02 01:00:00,2026-07-01 16:38:00,2026-07-02 01:00:00,Late,9.0,8.366666666666667
SH00000086,R_DS001_076,Rider,DS001,2026-07-01,Night,False,2026-07-01 00:00:00,2026-07-01 09:00:00,2026-07-01 00:00:00,2026-07-01 09:00:00,Present,9.0,9.0
SH00000087,R_DS001_077,Rider,DS001,2026-07-01,Morning,False,2026-07-01 08:00:00,2026-07-01 17:00:00,2026-07-01 08:00:00,2026-07-01 17:00:00,Present,9.0,9.0
SH00000088,R_DS001_078,Rider,DS001,2026-07-01,Evening,False,2026-07-01 16:00:00,2026-07-02 01:00:00,2026-07-01 16:11:00,2026-07-02 01:00:00,Late,9.0,8.816666666666666
SH00000089,R_DS001_079,Rider,DS001,2026-07-01,Night,False,2026-07-01 00:00:00,2026-07-01 09:00:00,2026-07-01 00:00:00,2026-07-01 09:00:00,Present,9.0,9.0
SH00000090,R_DS001_081,Rider,DS001,2026-07-01,Evening,False,2026-07-01 16:00:00,2026-07-02 01:00:00,2026-07-01 16:00:00,2026-07-02 01:00:00,Present,9.0,9.0
SH00000091,R_DS001_082,Rider,DS001,2026-07-01,Night,False,2026-07-01 00:00:00,2026-07-01 09:00:00,2026-07-01 00:00:00,2026-07-01 09:00:00,Present,9.0,9.0
SH00000092,R_DS001_083,Rider,DS001,2026-07-01,Morning,False,2026-07-01 08:00:00,2026-07-01 17:00:00,2026-07-01 08:00:00,2026-07-01 17:00:00,Present,9.0,9.0
SH00000093,R_DS001_084,Rider,DS001,2026-07-01,Evening,False,2026-07-01 16:00:00,2026-07-02 01:00:00,2026-07-01 16:00:00,2026-07-02 01:00:00,Present,9.0,9.0
SH00000094,R_DS001_085,Rider,DS001,2026-07-01,Night,False,2026-07-01 00:00:00,2026-07-01 09:00:00,2026-07-01 00:00:00,2026-07-01 08:37:00,Early Logout,9.0,8.616666666666667
SH00000095,R_DS001_086,Rider,DS001,2026-07-01,Morning,False,2026-07-01 08:00:00,2026-07-01 17:00:00,2026-07-01 08:00:00,2026-07-01 17:00:00,Present,9.0,9.0
SH00000096,R_DS001_088,Rider,DS001,2026-07-01,Night,False,2026-07-01 00:00:00,2026-07-01 09:00:00,,,Absent,9.0,0.0
SH00000097,R_DS001_089,Rider,DS001,2026-07-01,Morning,False,2026-07-01 08:00:00,2026-07-01 17:00:00,2026-07-01 08:00:00,2026-07-01 17:00:00,Present,9.0,9.0
SH00000098,R_DS001_090,Rider,DS001,2026-07-01,Evening,False,2026-07-01 16:00:00,2026-07-02 01:00:00,2026-07-01 16:00:00,2026-07-02 01:00:00,Present,9.0,9.0
SH00000099,R_DS001_091,Rider,DS001,2026-07-01,Night,False,2026-07-01 00:00:00,2026-07-01 09:00:00,2026-07-01 00:13:00,2026-07-01 09:00:00,Late,9.0,8.783333333333333
SH00000100,R_DS001_092,Rider,DS001,2026-07-01,Morning,False,2026-07-01 08:00:00,2026-07-01 17:00:00,,,Absent,9.0,0.0
SH00000101,R_DS001_093,Rider,DS001,2026-07-01,Evening,False,2026-07-01 16:00:00,2026-07-02 01:00:00,2026-07-01 16:00:00,2026-07-02 01:00:00,Present,9.0,9.0
SH00000102,R_DS001_095,Rider,DS001,2026-07-01,Morning,False,2026-07-01 08:00:00,2026-07-01 17:00:00,2026-07-01 08:00:00,2026-07-01 17:00:00,Present,9.0,9.0
SH00000103,R_DS001_097,Rider,DS001,2026-07-01,Night,False,2026-07-01 00:00:00,2026-07-01 09:00:00,,,Absent,9.0,0.0
SH00000104,R_DS001_098,Rider,DS001,2026-07-01,Morning,False,2026-07-01 08:00:00,2026-07-01 17:00:00,2026-07-01 08:00:00,2026-07-01 16:01:00,Early Logout,9.0,8.016666666666667
SH00000105,R_DS001_099,Rider,DS001,2026-07-01,Evening,False,2026-07-01 16:00:00,2026-07-02 01:00:00,2026-07-01 16:00:00,2026-07-02 01:00:00,Present,9.0,9.0
SH00000106,R_DS001_100,Rider,DS001,2026-07-01,Night,False,2026-07-01 00:00:00,2026-07-01 09:00:00,2026-07-01 00:00:00,2026-07-01 09:00:00,Present,9.0,9.0
SH00000107,R_DS001_102,Rider,DS001,2026-07-01,Evening,False,2026-07-01 16:00:00,2026-07-02 01:00:00,2026-07-01 16:00:00,2026-07-02 01:00:00,Present,9.0,9.0
SH00000108,R_DS001_103,Rider,DS001,2026-07-01,Night,False,2026-07-01 00:00:00,2026-07-01 09:00:00,2026-07-01 00:00:00,2026-07-01 08:30:00,Early Logout,9.0,8.5
SH00000109,R_DS001_104,Rider,DS001,2026-07-01,Morning,False,2026-07-01 08:00:00,2026-07-01 17:00:00,2026-07-01 08:00:00,2026-07-01 17:00:00,Present,9.0,9.0
SH00000110,R_DS001_105,Rider,DS001,2026-07-01,Evening,False,2026-07-01 16:00:00,2026-07-02 01:00:00,2026-07-01 16:00:00,2026-07-02 01:00:00,Present,9.0,9.0
SH00000111,R_DS001_106,Rider,DS001,2026-07-01,Night,False,2026-07-01 00:00:00,2026-07-01 09:00:00,2026-07-01 00:00:00,2026-07-01 09:00:00,Present,9.0,9.0
SH00000112,R_DS001_107,Rider,DS001,2026-07-01,Morning,False,2026-07-01 08:00:00,2026-07-01 17:00:00,2026-07-01 08:30:00,2026-07-01 17:00:00,Late,9.0,8.5
SH00000113,R_DS001_109,Rider,DS001,2026-07-01,Night,False,2026-07-01 00:00:00,2026-07-01 09:00:00,2026-07-01 00:00:00,2026-07-01 09:00:00,Present,9.0,9.0
SH00000114,R_DS001_110,Rider,DS001,2026-07-01,Morning,False,2026-07-01 08:00:00,2026-07-01 17:00:00,2026-07-01 08:00:00,2026-07-01 17:00:00,Present,9.0,9.0
SH00000115,R_DS001_111,Rider,DS001,2026-07-01,Evening,False,2026-07-01 16:00:00,2026-07-02 01:00:00,2026-07-01 16:00:00,2026-07-02 01:00:00,Present,9.0,9.0
SH00000116,R_DS001_112,Rider,DS001,2026-07-01,Night,False,2026-07-01 00:00:00,2026-07-01 09:00:00,,,Absent,9.0,0.0
SH00000117,R_DS001_113,Rider,DS001,2026-07-01,Morning,False,2026-07-01 08:00:00,2026-07-01 17:00:00,2026-07-01 08:00:00,2026-07-01 17:00:00,Present,9.0,9.0
SH00000118,R_DS001_114,Rider,DS001,2026-07-01,Evening,False,2026-07-01 16:00:00,2026-07-02 01:00:00,2026-07-01 16:00:00,2026-07-02 01:00:00,Present,9.0,9.0
SH00000119,R_DS001_116,Rider,DS001,2026-07-01,Morning,False,2026-07-01 08:00:00,2026-07-01 17:00:00,2026-07-01 08:00:00,2026-07-01 17:00:00,Present,9.0,9.0
SH00000120,R_DS001_118,Rider,DS001,2026-07-01,Night,False,2026-07-01 00:00:00,2026-07-01 09:00:00,,,Absent,9.0,0.0
SH00000121,R_DS001_119,Rider,DS001,2026-07-01,Morning,False,2026-07-01 08:00:00,2026-07-01 17:00:00,2026-07-01 08:00:00,2026-07-01 17:00:00,Present,9.0,9.0
SH00000122,R_DS001_121,Rider,DS001,2026-07-01,Night,False,2026-07-01 00:00:00,2026-07-01 09:00:00,2026-07-01 00:00:00,2026-07-01 09:00:00,Present,9.0,9.0
SH00000123,R_DS001_123,Rider,DS001,2026-07-01,Evening,False,2026-07-01 16:00:00,2026-07-02 01:00:00,2026-07-01 16:00:00,2026-07-02 01:00:00,Present,9.0,9.0
SH00000124,R_DS001_124,Rider,DS001,2026-07-01,Night,False,2026-07-01 00:00:00,2026-07-01 09:00:00,2026-07-01 00:00:00,2026-07-01 09:00:00,Present,9.0,9.0
SH00000125,R_DS001_125,Rider,DS001,2026-07-01,Morning,False,2026-07-01 08:00:00,2026-07-01 17:00:00,2026-07-01 08:00:00,2026-07-01 17:00:00,Present,9.0,9.0
SH00000126,R_DS001_126,Rider,DS001,2026-07-01,Evening,False,2026-07-01 16:00:00,2026-07-02 01:00:00,2026-07-01 16:00:00,2026-07-02 00:14:00,Early Logout,9.0,8.233333333333333
SH00000127,R_DS001_128,Rider,DS001,2026-07-01,Morning,False,2026-07-01 08:00:00,2026-07-01 17:00:00,2026-07-01 08:00:00,2026-07-01 17:00:00,Present,9.0,9.0
SH00000128,R_DS001_130,Rider,DS001,2026-07-01,Night,False,2026-07-01 00:00:00,2026-07-01 09:00:00,2026-07-01 00:00:00,2026-07-01 09:00:00,Present,9.0,9.0
SH00000129,R_DS001_131,Rider,DS001,2026-07-01,Morning,False,2026-07-01 08:00:00,2026-07-01 17:00:00,2026-07-01 08:00:00,2026-07-01 17:00:00,Present,9.0,9.0
SH00000130,R_DS001_132,Rider,DS001,2026-07-01,Evening,False,2026-07-01 16:00:00,2026-07-02 01:00:00,2026-07-01 16:00:00,2026-07-02 01:00:00,Present,9.0,9.0
SH00000131,R_DS001_133,Rider,DS001,2026-07-01,Night,False,2026-07-01 00:00:00,2026-07-01 09:00:00,2026-07-01 00:11:00,2026-07-01 09:00:00,Late,9.0,8.816666666666666
SH00000132,R_DS001_134,Rider,DS001,2026-07-01,Morning,False,2026-07-01 08:00:00,2026-07-01 17:00:00,,,Absent,9.0,0.0
SH00000133,R_DS001_135,Rider,DS001,2026-07-01,Evening,False,2026-07-01 16:00:00,2026-07-02 01:00:00,2026-07-01 16:00:00,2026-07-02 01:00:00,Present,9.0,9.0
SH00000134,R_DS001_137,Rider,DS001,2026-07-01,Morning,False,2026-07-01 08:00:00,2026-07-01 17:00:00,2026-07-01 08:24:00,2026-07-01 17:00:00,Late,9.0,8.6
SH00000135,R_DS001_138,Rider,DS001,2026-07-01,Evening,False,2026-07-01 16:00:00,2026-07-02 01:00:00,2026-07-01 16:00:00,2026-07-02 01:00:00,Present,9.0,9.0
SH00000136,R_DS001_139,Rider,DS001,2026-07-01,Night,False,2026-07-01 00:00:00,2026-07-01 09:00:00,2026-07-01 00:00:00,2026-07-01 09:00:00,Present,9.0,9.0
SH00000137,R_DS001_140,Rider,DS001,2026-07-01,Morning,False,2026-07-01 08:00:00,2026-07-01 17:00:00,2026-07-01 08:00:00,2026-07-01 17:00:00,Present,9.0,9.0
SH00000138,R_DS001_141,Rider,DS001,2026-07-01,Evening,False,2026-07-01 16:00:00,2026-07-02 01:00:00,2026-07-01 16:00:00,2026-07-02 01:00:00,Present,9.0,9.0
SH00000139,R_DS001_142,Rider,DS001,2026-07-01,Night,False,2026-07-01 00:00:00,2026-07-01 09:00:00,2026-07-01 00:00:00,2026-07-01 09:00:00,Present,9.0,9.0
SH00000140,R_DS001_144,Rider,DS001,2026-07-01,Evening,False,2026-07-01 16:00:00,2026-07-02 01:00:00,,,Absent,9.0,0.0
SH00000141,R_DS001_145,Rider,DS001,2026-07-01,Night,False,2026-07-01 00:00:00,2026-07-01 09:00:00,2026-07-01 00:11:00,2026-07-01 09:00:00,Late,9.0,8.816666666666666
SH00000142,R_DS001_146,Rider,DS001,2026-07-01,Morning,False,2026-07-01 08:00:00,2026-07-01 17:00:00,2026-07-01 08:00:00,2026-07-01 16:43:00,Early Logout,9.0,8.716666666666667
SH00000143,R_DS001_147,Rider,DS001,2026-07-01,Evening,False,2026-07-01 16:00:00,2026-07-02 01:00:00,2026-07-01 16:00:00,2026-07-02 01:00:00,Present,9.0,9.0
SH00000144,R_DS001_148,Rider,DS001,2026-07-01,Night,False,2026-07-01 00:00:00,2026-07-01 09:00:00,2026-07-01 00:40:00,2026-07-01 09:00:00,Late,9.0,8.333333333333334
