Assignment_ID,Order_ID,Rider_ID,Rider_Shift_ID,Assigned_Time
RA_ORD000000166,ORD000000166,R_DS001_058,SH00000074,2026-07-01 07:45:19.000000000
RA_ORD000000191,ORD000000191,R_DS001_064,SH00000077,2026-07-01 07:45:41.000000000
RA_ORD000000199,ORD000000199,R_DS001_085,SH00000094,2026-07-01 07:46:53.000000000
RA_ORD000000183,ORD000000183,R_DS001_091,SH00000099,2026-07-01 07:48:33.000000000
RA_ORD000000197,ORD000000197,R_DS001_100,SH00000106,2026-07-01 07:48:56.000000000
RA_ORD000000200,ORD000000200,R_DS001_001,SH00000032,2026-07-01 07:49:14.000000000
RA_ORD000000188,ORD000000188,R_DS001_103,SH00000108,2026-07-01 07:50:18.000000000
RA_ORD000000164,ORD000000164,R_DS001_070,SH00000082,2026-07-01 07:50:24.000000000
RA_ORD000000180,ORD000000180,R_DS001_037,SH00000059,2026-07-01 07:51:18.000000000
RA_ORD000000202,ORD000000202,R_DS001_106,SH00000111,2026-07-01 07:51:20.000000000
RA_ORD000000167,ORD000000167,R_DS001_109,SH00000113,2026-07-01 07:51:32.000000000
RA_ORD000000173,ORD000000173,R_DS001_043,SH00000062,2026-07-01 07:52:07.000000000
RA_ORD000000184,ORD000000184,R_DS001_022,SH00000048,2026-07-01 07:52:57.000000000
RA_ORD000000165,ORD000000165,R_DS001_055,SH00000071,2026-07-01 07:53:21.000000000
RA_ORD000000181,ORD000000181,R_DS001_121,SH00000122,2026-07-01 07:54:17.000000000
RA_ORD000000170,ORD000000170,R_DS001_067,SH00000079,2026-07-01 07:55:10.000000000
RA_ORD000000193,ORD000000193,R_DS001_076,SH00000086,2026-07-01 07:55:18.000000000
RA_ORD000000186,ORD000000186,R_DS001_004,SH00000034,2026-07-01 07:56:33.000000000
RA_ORD000000192,ORD000000192,R_DS001_016,SH00000043,2026-07-01 07:56:42.000000000
RA_ORD000000190,ORD000000190,R_DS001_124,SH00000124,2026-07-01 07:57:14.000000000
RA_ORD000000175,ORD000000175,R_DS001_064,SH00000077,2026-07-01 07:58:08.000000000
RA_ORD000000168,ORD000000168,R_DS001_019,SH00000045,2026-07-01 07:58:39.000000000
RA_ORD000000185,ORD000000185,R_DS001_058,SH00000074,2026-07-01 07:59:50.000000000
RA_ORD000000204,ORD000000204,R_DS001_002,SH00000033,2026-07-01 08:00:07.000000000
RA_ORD000000205,ORD000000205,R_DS001_001,SH00000032,2026-07-01 08:00:51.000000000
RA_ORD000000209,ORD000000209,R_DS001_008,SH00000037,2026-07-01 08:02:28.000000000
RA_ORD000000227,ORD000000227,R_DS001_011,SH00000039,2026-07-01 08:02:40.000000000
RA_ORD000000224,ORD000000224,R_DS001_020,SH00000046,2026-07-01 08:03:47.000000000
RA_ORD000000216,ORD000000216,R_DS001_023,SH00000049,2026-07-01 08:04:27.000000000
RA_ORD000000234,ORD000000234,R_DS001_026,SH00000051,2026-07-01 08:04:44.000000000
RA_ORD000000215,ORD000000215,R_DS001_032,SH00000055,2026-07-01 08:05:12.000000000
RA_ORD000000237,ORD000000237,R_DS001_004,SH00000034,2026-07-01 08:07:13.000000000
RA_ORD000000223,ORD000000223,R_DS001_016,SH00000043,2026-07-01 08:07:53.000000000
RA_ORD000000220,ORD000000220,R_DS001_035,SH00000057,2026-07-01 08:08:07.000000000
RA_ORD000000239,ORD000000239,R_DS001_037,SH00000059,2026-07-01 08:09:14.000000000
RA_ORD000000214,ORD000000214,R_DS001_043,SH00000062,2026-07-01 08:09:28.000000000
RA_ORD000000218,ORD000000218,R_DS001_019,SH00000045,2026-07-01 08:11:13.000000000
RA_ORD000000225,ORD000000225,R_DS001_020,SH00000046,2026-07-01 08:11:13.000000000
RA_ORD000000231,ORD000000231,R_DS001_022,SH00000048,2026-07-01 08:11:22.000000000
RA_ORD000000238,ORD000000238,R_DS001_008,SH00000037,2026-07-01 08:12:29.000000000
RA_ORD000000236,ORD000000236,R_DS001_044,SH00000063,2026-07-01 08:13:51.000000000
RA_ORD000000228,ORD000000228,R_DS001_047,SH00000064,2026-07-01 08:14:11.000000000
RA_ORD000000229,ORD000000229,R_DS001_053,SH00000069,2026-07-01 08:14:17.000000000
RA_ORD000000235,ORD000000235,R_DS001_055,SH00000071,2026-07-01 08:15:36.000000000
RA_ORD000000211,ORD000000211,R_DS001_011,SH00000039,2026-07-01 08:15:45.000000000
RA_ORD000000210,ORD000000210,R_DS001_058,SH00000074,2026-07-01 08:16:07.000000000
RA_ORD000000221,ORD000000221,R_DS001_064,SH00000077,2026-07-01 08:16:17.000000000
RA_ORD000000206,ORD000000206,R_DS001_001,SH00000032,2026-07-01 08:17:32.000000000
RA_ORD000000226,ORD000000226,R_DS001_016,SH00000043,2026-07-01 08:17:39.000000000
RA_ORD000000212,ORD000000212,R_DS001_020,SH00000046,2026-07-01 08:19:14.000000000
RA_ORD000000219,ORD000000219,R_DS001_002,SH00000033,2026-07-01 08:19:41.000000000
RA_ORD000000208,ORD000000208,R_DS001_014,SH00000041,2026-07-01 08:20:10.000000000
RA_ORD000000222,ORD000000222,R_DS001_026,SH00000051,2026-07-01 08:20:37.000000000
RA_ORD000000240,ORD000000240,R_DS001_023,SH00000049,2026-07-01 08:22:11.000000000
RA_ORD000000213,ORD000000213,R_DS001_004,SH00000034,2026-07-01 08:22:44.000000000
RA_ORD000000207,ORD000000207,R_DS001_022,SH00000048,2026-07-01 08:23:06.000000000
RA_ORD000000233,ORD000000233,R_DS001_019,SH00000045,2026-07-01 08:25:40.000000000
RA_ORD000000230,ORD000000230,R_DS001_032,SH00000055,2026-07-01 08:26:02.000000000
RA_ORD000000217,ORD000000217,R_DS001_035,SH00000057,2026-07-01 08:26:23.000000000
RA_ORD000000232,ORD000000232,R_DS001_043,SH00000062,2026-07-01 08:26:26.000000000
RA_ORD000000264,ORD000000264,R_DS001_001,SH00000032,2026-07-01 08:30:21.000000000
RA_ORD000000277,ORD000000277,R_DS001_008,SH00000037,2026-07-01 08:31:05.000000000
RA_ORD000000245,ORD000000245,R_DS001_011,SH00000039,2026-07-01 08:31:22.000000000
RA_ORD000000260,ORD000000260,R_DS001_016,SH00000043,2026-07-01 08:31:25.000000000
RA_ORD000000242,ORD000000242,R_DS001_023,SH00000049,2026-07-01 08:32:09.000000000
RA_ORD000000283,ORD000000283,R_DS001_026,SH00000051,2026-07-01 08:32:35.000000000
RA_ORD000000276,ORD000000276,R_DS001_032,SH00000055,2026-07-01 08:33:01.000000000
RA_ORD000000281,ORD000000281,R_DS001_002,SH00000033,2026-07-01 08:33:06.000000000
RA_ORD000000273,ORD000000273,R_DS001_004,SH00000034,2026-07-01 08:33:28.000000000
RA_ORD000000261,ORD000000261,R_DS001_020,SH00000046,2026-07-01 08:33:53.000000000
RA_ORD000000263,ORD000000263,R_DS001_035,SH00000057,2026-07-01 08:34:25.000000000
RA_ORD000000284,ORD000000284,R_DS001_037,SH00000059,2026-07-01 08:35:02.000000000
RA_ORD000000272,ORD000000272,R_DS001_044,SH00000063,2026-07-01 08:35:13.000000000
RA_ORD000000248,ORD000000248,R_DS001_047,SH00000064,2026-07-01 08:35:27.000000000
RA_ORD000000279,ORD000000279,R_DS001_050,SH00000067,2026-07-01 08:35:38.000000000
RA_ORD000000275,ORD000000275,R_DS001_053,SH00000069,2026-07-01 08:35:53.000000000
RA_ORD000000257,ORD000000257,R_DS001_055,SH00000071,2026-07-01 08:35:59.000000000
RA_ORD000000259,ORD000000259,R_DS001_014,SH00000041,2026-07-01 08:36:24.000000000
RA_ORD000000253,ORD000000253,R_DS001_019,SH00000045,2026-07-01 08:37:19.000000000
RA_ORD000000256,ORD000000256,R_DS001_011,SH00000039,2026-07-01 08:38:47.000000000
RA_ORD000000286,ORD000000286,R_DS001_022,SH00000048,2026-07-01 08:38:53.000000000
RA_ORD000000288,ORD000000288,R_DS001_058,SH00000074,2026-07-01 08:39:27.000000000
RA_ORD000000262,ORD000000262,R_DS001_001,SH00000032,2026-07-01 08:40:35.000000000
RA_ORD000000250,ORD000000250,R_DS001_004,SH00000034,2026-07-01 08:41:07.000000000
RA_ORD000000285,ORD000000285,R_DS001_008,SH00000037,2026-07-01 08:41:20.000000000
RA_ORD000000266,ORD000000266,R_DS001_064,SH00000077,2026-07-01 08:41:28.000000000
RA_ORD000000255,ORD000000255,R_DS001_026,SH00000051,2026-07-01 08:44:19.000000000
RA_ORD000000252,ORD000000252,R_DS001_023,SH00000049,2026-07-01 08:44:55.000000000
RA_ORD000000241,ORD000000241,R_DS001_002,SH00000033,2026-07-01 08:45:42.000000000
RA_ORD000000251,ORD000000251,R_DS001_043,SH00000062,2026-07-01 08:46:49.000000000
RA_ORD000000287,ORD000000287,R_DS001_047,SH00000064,2026-07-01 08:47:18.000000000
RA_ORD000000265,ORD000000265,R_DS001_065,SH00000078,2026-07-01 08:47:39.000000000
RA_ORD000000258,ORD000000258,R_DS001_014,SH00000041,2026-07-01 08:49:59.000000000
RA_ORD000000247,ORD000000247,R_DS001_001,SH00000032,2026-07-01 08:50:31.000000000
RA_ORD000000282,ORD000000282,R_DS001_011,SH00000039,2026-07-01 08:50:32.000000000
RA_ORD000000270,ORD000000270,R_DS001_016,SH00000043,2026-07-01 08:51:05.000000000
RA_ORD000000267,ORD000000267,R_DS001_019,SH00000045,2026-07-01 08:51:20.000000000
RA_ORD000000246,ORD000000246,R_DS001_008,SH00000037,2026-07-01 08:53:15.000000000
RA_ORD000000249,ORD000000249,R_DS001_020,SH00000046,2026-07-01 08:53:29.000000000
RA_ORD000000269,ORD000000269,R_DS001_004,SH00000034,2026-07-01 08:54:01.000000000
RA_ORD000000268,ORD000000268,R_DS001_002,SH00000033,2026-07-01 08:54:33.000000000
RA_ORD000000254,ORD000000254,R_DS001_022,SH00000048,2026-07-01 08:54:55.000000000
RA_ORD000000280,ORD000000280,R_DS001_023,SH00000049,2026-07-01 08:55:06.000000000
RA_ORD000000289,ORD000000289,R_DS001_032,SH00000055,2026-07-01 08:55:37.000000000
RA_ORD000000271,ORD000000271,R_DS001_035,SH00000057,2026-07-01 08:56:03.000000000
RA_ORD000000278,ORD000000278,R_DS001_037,SH00000059,2026-07-01 08:56:31.000000000
RA_ORD000000274,ORD000000274,R_DS001_043,SH00000062,2026-07-01 08:56:33.000000000
RA_ORD000000243,ORD000000243,R_DS001_019,SH00000045,2026-07-01 08:57:39.000000000
RA_ORD000000244,ORD000000244,R_DS001_026,SH00000051,2026-07-01 08:58:22.000000000
RA_ORD000000297,ORD000000297,R_DS001_044,SH00000063,2026-07-01 09:00:01.000000000
