Store_Date_ID,Store_ID,Date,Weather_Type,Weather_Factor,Promotion_Flag,Promotion_Factor,Random_Noise_Factor
DS001_20260724,DS001,2026-07-24,Heavy Rain,1.15,False,1.0,1.0337754076194128
DS001_20260725,DS001,2026-07-25,Light Rain,1.08,True,1.18,1.0004570422224264
DS001_20260726,DS001,2026-07-26,Clear,1.0,True,1.18,1.0531584236174796
DS001_20260727,DS001,2026-07-27,Cloudy,1.02,False,1.0,1.0342717593026611
DS001_20260728,DS001,2026-07-28,Clear,1.0,False,1.0,1.0336728026756026
DS001_20260729,DS001,2026-07-29,Clear,1.0,False,1.0,1.0221646600529637
DS001_20260730,DS001,2026-07-30,Light Rain,1.08,False,1.0,1.0931061240138433
DS001_20260731,DS001,2026-07-31,Light Rain,1.08,False,1.0,0.9917935324453583
DS001_20260801,DS001,2026-08-01,Heavy Rain,1.15,False,1.0,0.9198591083173394
DS001_20260802,DS001,2026-08-02,Clear,1.0,False,1.0,1.0641701744606857
DS001_20260803,DS001,2026-08-03,Cloudy,1.02,False,1.0,0.981692022761727
DS001_20260804,DS001,2026-08-04,Cloudy,1.02,False,1.0,1.0043152177737213
DS001_20260805,DS001,2026-08-05,Clear,1.0,False,1.0,1.052382027394421
DS001_20260806,DS001,2026-08-06,Clear,1.0,False,1.0,0.935909618357643
DS001_20260807,DS001,2026-08-07,Cloudy,1.02,True,1.18,0.9499341114357545
DS001_20260808,DS001,2026-08-08,Clear,1.0,True,1.18,0.9359488825152459
DS001_20260809,DS001,2026-08-09,Light Rain,1.08,False,1.0,0.968234548398983
DS001_20260810,DS001,2026-08-10,Cloudy,1.02,False,1.0,1.0175854642406796
DS001_20260811,DS001,2026-08-11,Light Rain,1.08,False,1.0,1.020967513712511
DS001_20260812,DS001,2026-08-12,Light Rain,1.08,False,1.0,1.0110509671731422
DS001_20260813,DS001,2026-08-13,Clear,1.0,False,1.0,0.9434893646443053
DS001_20260814,DS001,2026-08-14,Light Rain,1.08,False,1.0,0.9075958625346943
DS001_20260815,DS001,2026-08-15,Light Rain,1.08,False,1.0,1.0021741434156153
DS001_20260816,DS001,2026-08-16,Cloudy,1.02,False,1.0,0.9811289586544666
DS001_20260817,DS001,2026-08-17,Clear,1.0,False,1.0,1.0183754308686646
DS001_20260818,DS001,2026-08-18,Light Rain,1.08,True,1.18,1.0280781450488508
DS001_20260819,DS001,2026-08-19,Clear,1.0,False,1.0,1.0055296572823473
DS001_20260820,DS001,2026-08-20,Clear,1.0,False,1.0,1.030405323415034
DS001_20260821,DS001,2026-08-21,Clear,1.0,False,1.0,1.0091684549646027
DS001_20260822,DS001,2026-08-22,Light Rain,1.08,False,1.0,1.0212025882240587
DS001_20260823,DS001,2026-08-23,Light Rain,1.08,False,1.0,0.9718130694852047
DS001_20260824,DS001,2026-08-24,Light Rain,1.08,False,1.0,0.9928155434467416
DS001_20260825,DS001,2026-08-25,Light Rain,1.08,False,1.0,1.0078710438662783
DS001_20260826,DS001,2026-08-26,Cloudy,1.02,False,1.0,1.0328211390166968
DS001_20260827,DS001,2026-08-27,Cloudy,1.02,False,1.0,0.9842503531110172
DS001_20260828,DS001,2026-08-28,Clear,1.0,False,1.0,1.0208466902292845
DS001_20260829,DS001,2026-08-29,Clear,1.0,False,1.0,0.9893664483233848
DS002_20260701,DS002,2026-07-01,Light Rain,1.08,False,1.0,0.9952983133068748
DS002_20260702,DS002,2026-07-02,Cloudy,1.02,False,1.0,1.033180761680963
DS002_20260703,DS002,2026-07-03,Heavy Rain,1.15,True,1.18,0.9202775851578338
DS002_20260704,DS002,2026-07-04,Light Rain,1.08,False,1.0,0.9481411068770096
DS002_20260705,DS002,2026-07-05,Clear,1.0,True,1.18,0.9407125841022872
DS002_20260706,DS002,2026-07-06,Heavy Rain,1.15,False,1.0,0.9066553552060678
DS002_20260707,DS002,2026-07-07,Light Rain,1.08,False,1.0,0.9728694223937929
DS002_20260708,DS002,2026-07-08,Light Rain,1.08,False,1.0,1.0299773559891097
DS002_20260709,DS002,2026-07-09,Clear,1.0,True,1.18,0.9886046373446971
DS002_20260710,DS002,2026-07-10,Cloudy,1.02,False,1.0,1.007911603277674
DS002_20260711,DS002,2026-07-11,Cloudy,1.02,False,1.0,1.0435686998684317
DS002_20260712,DS002,2026-07-12,Heavy Rain,1.15,False,1.0,1.0531074452907077
DS002_20260713,DS002,2026-07-13,Light Rain,1.08,False,1.0,0.9972344826109544
DS002_20260714,DS002,2026-07-14,Light Rain,1.08,False,1.0,1.054143435582776
DS002_20260715,DS002,2026-07-15,Cloudy,1.02,False,1.0,1.0036850663373644
DS002_20260716,DS002,2026-07-16,Clear,1.0,True,1.18,0.9665040710469015
DS002_20260717,DS002,2026-07-17,Cloudy,1.02,False,1.0,0.9762239859120506
DS002_20260718,DS002,2026-07-18,Clear,1.0,False,1.0,0.9407785394973993
DS002_20260719,DS002,2026-07-19,Light Rain,1.08,False,1.0,0.9644746458506539
DS002_20260720,DS002,2026-07-20,Light Rain,1.08,True,1.18,0.9856793324770229
DS002_20260721,DS002,2026-07-21,Light Rain,1.08,False,1.0,1.032143400775144
DS002_20260722,DS002,2026-07-22,Cloudy,1.02,False,1.0,1.0688307932466394
DS002_20260723,DS002,2026-07-23,Heavy Rain,1.15,False,1.0,0.9447127393849184
DS002_20260724,DS002,2026-07-24,Heavy Rain,1.15,False,1.0,1.0157130987303968
DS002_20260725,DS002,2026-07-25,Light Rain,1.08,False,1.0,0.9583782424336986
DS002_20260726,DS002,2026-07-26,Clear,1.0,False,1.0,1.018987883538528
DS002_20260727,DS002,2026-07-27,Cloudy,1.02,False,1.0,0.994756533972491
DS002_20260728,DS002,2026-07-28,Clear,1.0,False,1.0,0.9267637669660987
DS002_20260729,DS002,2026-07-29,Clear,1.0,False,1.0,1.0371318796627393
DS002_20260730,DS002,2026-07-30,Light Rain,1.08,True,1.18,0.9757999714876507
DS002_20260731,DS002,2026-07-31,Light Rain,1.08,False,1.0,0.9786439904650578
DS002_20260801,DS002,2026-08-01,Heavy Rain,1.15,False,1.0,0.9572099035484124
DS002_20260802,DS002,2026-08-02,Clear,1.0,False,1.0,0.9738286689324978
DS002_20260803,DS002,2026-08-03,Cloudy,1.02,False,1.0,1.0171156176277967
DS002_20260804,DS002,2026-08-04,Cloudy,1.02,True,1.18,0.9924302263625437
DS002_20260805,DS002,2026-08-05,Clear,1.0,False,1.0,1.0131464800912993
DS002_20260806,DS002,2026-08-06,Clear,1.0,False,1.0,1.0144768741571537
DS002_20260807,DS002,2026-08-07,Cloudy,1.02,False,1.0,1.0528264662211266
DS002_20260808,DS002,2026-08-08,Clear,1.0,False,1.0,0.9862885539654248
DS002_20260809,DS002,2026-08-09,Light Rain,1.08,False,1.0,0.9409256873261708
DS002_20260810,DS002,2026-08-10,Cloudy,1.02,True,1.18,1.0426888966628793
DS002_20260811,DS002,2026-08-11,Light Rain,1.08,False,1.0,0.9867404731161098
DS002_20260812,DS002,2026-08-12,Light Rain,1.08,False,1.0,1.0445836977830951
DS002_20260813,DS002,2026-08-13,Clear,1.0,True,1.18,1.0153350845272988
DS002_20260814,DS002,2026-08-14,Light Rain,1.08,False,1.0,0.9947544987918662
DS002_20260815,DS002,2026-08-15,Light Rain,1.08,False,1.0,1.0139510357618517
DS002_20260816,DS002,2026-08-16,Cloudy,1.02,False,1.0,1.078040502405052
DS002_20260817,DS002,2026-08-17,Clear,1.0,False,1.0,1.08307922116215
DS002_20260818,DS002,2026-08-18,Light Rain,1.08,False,1.0,1.0027752454053112
DS002_20260819,DS002,2026-08-19,Clear,1.0,False,1.0,1.006407623732683
DS002_20260820,DS002,2026-08-20,Clear,1.0,False,1.0,1.0430496062986554
DS002_20260821,DS002,2026-08-21,Clear,1.0,False,1.0,0.9661735586893061
DS002_20260822,DS002,2026-08-22,Light Rain,1.08,False,1.0,1.0133228149047302
DS002_20260823,DS002,2026-08-23,Light Rain,1.08,False,1.0,0.9989654860818458
DS002_20260824,DS002,2026-08-24,Light Rain,1.08,False,1.0,1.0125563284583021
DS002_20260825,DS002,2026-08-25,Light Rain,1.08,True,1.18,0.9666652477620238
DS002_20260826,DS002,2026-08-26,Cloudy,1.02,False,1.0,0.9364173002676413
DS002_20260827,DS002,2026-08-27,Cloudy,1.02,False,1.0,0.9170806625603484
DS002_20260828,DS002,2026-08-28,Clear,1.0,False,1.0,0.9553046354804157
DS002_20260829,DS002,2026-08-29,Clear,1.0,False,1.0,0.9816529886024267
DS003_20260701,DS003,2026-07-01,Light Rain,1.08,False,1.0,0.9882723365340496
DS003_20260702,DS003,2026-07-02,Cloudy,1.02,False,1.0,1.0774892464971806
DS003_20260703,DS003,2026-07-03,Heavy Rain,1.15,False,1.0,1.044239734796292
DS003_20260704,DS003,2026-07-04,Light Rain,1.08,False,1.0,0.961516355346335
DS003_20260705,DS003,2026-07-05,Clear,1.0,False,1.0,1.0139083380980383
DS003_20260706,DS003,2026-07-06,Heavy Rain,1.15,False,1.0,0.983716870545987
DS003_20260707,DS003,2026-07-07,Light Rain,1.08,False,1.0,0.9886254464783962
DS003_20260708,DS003,2026-07-08,Light Rain,1.08,True,1.18,1.0074130259766152
DS003_20260709,DS003,2026-07-09,Clear,1.0,False,1.0,1.0247668446790157
DS003_20260710,DS003,2026-07-10,Cloudy,1.02,False,1.0,0.9864296606446394
DS003_20260711,DS003,2026-07-11,Cloudy,1.02,False,1.0,1.0425540613093744
DS003_20260712,DS003,2026-07-12,Heavy Rain,1.15,False,1.0,0.9543224709543039
DS003_20260713,DS003,2026-07-13,Light Rain,1.08,False,1.0,1.0002535624944908
DS003_20260714,DS003,2026-07-14,Light Rain,1.08,False,1.0,1.1039069490638334
DS003_20260715,DS003,2026-07-15,Cloudy,1.02,False,1.0,1.008923189705011
DS003_20260716,DS003,2026-07-16,Clear,1.0,False,1.0,1.057328580264247
DS003_20260717,DS003,2026-07-17,Cloudy,1.02,False,1.0,1.0036608071269284
DS003_20260718,DS003,2026-07-18,Clear,1.0,False,1.0,1.023231083813192
DS003_20260719,DS003,2026-07-19,Light Rain,1.08,False,1.0,0.9977286722242923
DS003_20260720,DS003,2026-07-20,Light Rain,1.08,False,1.0,0.9931836967534319
DS003_20260721,DS003,2026-07-21,Light Rain,1.08,False,1.0,0.9688207041309832
DS003_20260722,DS003,2026-07-22,Cloudy,1.02,False,1.0,1.017212054358302
DS003_20260723,DS003,2026-07-23,Heavy Rain,1.15,False,1.0,0.9659385124325692
DS003_20260724,DS003,2026-07-24,Heavy Rain,1.15,False,1.0,1.0266234094525373
DS003_20260725,DS003,2026-07-25,Light Rain,1.08,True,1.18,1.0434114801778365
DS003_20260726,DS003,2026-07-26,Clear,1.0,False,1.0,1.0146612562894892
DS003_20260727,DS003,2026-07-27,Cloudy,1.02,False,1.0,0.9885500506577724
DS003_20260728,DS003,2026-07-28,Clear,1.0,False,1.0,1.0181586231723478
DS003_20260729,DS003,2026-07-29,Clear,1.0,False,1.0,0.9876530777781435
DS003_20260730,DS003,2026-07-30,Light Rain,1.08,False,1.0,1.0374218850186059
DS003_20260731,DS003,2026-07-31,Light Rain,1.08,False,1.0,0.9267437566313951
DS003_20260801,DS003,2026-08-01,Heavy Rain,1.15,False,1.0,0.9865757052752542
DS003_20260802,DS003,2026-08-02,Clear,1.0,False,1.0,0.9203675201950401
DS003_20260803,DS003,2026-08-03,Cloudy,1.02,False,1.0,0.9401975667909118
DS003_20260804,DS003,2026-08-04,Cloudy,1.02,False,1.0,1.0545544891925565
DS003_20260805,DS003,2026-08-05,Clear,1.0,False,1.0,1.0358073992788674
DS003_20260806,DS003,2026-08-06,Clear,1.0,False,1.0,0.9712207906686083
DS003_20260807,DS003,2026-08-07,Cloudy,1.02,False,1.0,0.9398998617583642
DS003_20260808,DS003,2026-08-08,Clear,1.0,False,1.0,0.881418846486334
DS003_20260809,DS003,2026-08-09,Light Rain,1.08,False,1.0,0.9782601796826946
DS003_20260810,DS003,2026-08-10,Cloudy,1.02,False,1.0,1.096816600489896
DS003_20260811,DS003,2026-08-11,Light Rain,1.08,False,1.0,1.017395370858546
DS003_20260812,DS003,2026-08-12,Light Rain,1.08,False,1.0,0.9776171085580204
DS003_20260813,DS003,2026-08-13,Clear,1.0,False,1.0,1.0186032083800123
DS003_20260814,DS003,2026-08-14,Light Rain,1.08,False,1.0,0.9375616658802223
DS003_20260815,DS003,2026-08-15,Light Rain,1.08,False,1.0,0.9881070654920946
DS003_20260816,DS003,2026-08-16,Cloudy,1.02,True,1.18,1.0039790989206296
DS003_20260817,DS003,2026-08-17,Clear,1.0,False,1.0,0.9965559739271581
DS003_20260818,DS003,2026-08-18,Light Rain,1.08,False,1.0,1.0316322448676032
DS003_20260819,DS003,2026-08-19,Clear,1.0,True,1.18,1.013785809049442
DS003_20260820,DS003,2026-08-20,Clear,1.0,False,1.0,1.0267330407243198
DS003_20260821,DS003,2026-08-21,Clear,1.0,False,1.0,0.9724651087107696
DS003_20260822,DS003,2026-08-22,Light Rain,1.08,False,1.0,1.0359126163364218
DS003_20260823,DS003,2026-08-23,Light Rain,1.08,False,1.0,1.0651574779049597
DS003_20260824,DS003,2026-08-24,Light Rain,1.08,False,1.0,0.9611940192139435
DS003_20260825,DS003,2026-08-25,Light Rain,1.08,False,1.0,0.9644921737714176
DS003_20260826,DS003,2026-08-26,Cloudy,1.02,False,1.0,1.0534313734528093
DS003_20260827,DS003,2026-08-27,Cloudy,1.02,False,1.0,0.9923462405321976
DS003_20260828,DS003,2026-08-28,Clear,1.0,True,1.18,1.0561528556826623
DS003_20260829,DS003,2026-08-29,Clear,1.0,True,1.18,0.9822985715243127
DS004_20260701,DS004,2026-07-01,Light Rain,1.08,False,1.0,1.0582018230508285
DS004_20260702,DS004,2026-07-02,Cloudy,1.02,False,1.0,1.0052594326722182
DS004_20260703,DS004,2026-07-03,Heavy Rain,1.15,False,1.0,1.0103291529329077
DS004_20260704,DS004,2026-07-04,Light Rain,1.08,False,1.0,1.0625887208667961
DS004_20260705,DS004,2026-07-05,Clear,1.0,False,1.0,0.9855291809022332
DS004_20260706,DS004,2026-07-06,Heavy Rain,1.15,False,1.0,0.9623551161630016
DS004_20260707,DS004,2026-07-07,Light Rain,1.08,False,1.0,0.9820574316788658
DS004_20260708,DS004,2026-07-08,Light Rain,1.08,False,1.0,1.0180933580257256
DS004_20260709,DS004,2026-07-09,Clear,1.0,False,1.0,0.9373696371127794
DS004_20260710,DS004,2026-07-10,Cloudy,1.02,False,1.0,1.0254988361060449
DS004_20260711,DS004,2026-07-11,Cloudy,1.02,False,1.0,0.9784491472952903
DS004_20260712,DS004,2026-07-12,Heavy Rain,1.15,False,1.0,1.0459125064293426
DS004_20260713,DS004,2026-07-13,Light Rain,1.08,False,1.0,0.9042295878039811
DS004_20260714,DS004,2026-07-14,Light Rain,1.08,False,1.0,0.9685373689958332
DS004_20260715,DS004,2026-07-15,Cloudy,1.02,False,1.0,0.9325412739506359
DS004_20260716,DS004,2026-07-16,Clear,1.0,False,1.0,0.9669508213454419
DS004_20260717,DS004,2026-07-17,Cloudy,1.02,False,1.0,1.0099066360443578
DS004_20260718,DS004,2026-07-18,Clear,1.0,True,1.18,0.9928309349820098
DS004_20260719,DS004,2026-07-19,Light Rain,1.08,True,1.18,0.9898648972420794
DS004_20260720,DS004,2026-07-20,Light Rain,1.08,False,1.0,0.9936326051447976
DS004_20260721,DS004,2026-07-21,Light Rain,1.08,False,1.0,1.0081355296247978
DS004_20260722,DS004,2026-07-22,Cloudy,1.02,False,1.0,0.9596585583222756
DS004_20260723,DS004,2026-07-23,Heavy Rain,1.15,False,1.0,1.028273985635962
DS004_20260724,DS004,2026-07-24,Heavy Rain,1.15,False,1.0,1.0265066388154194
DS004_20260725,DS004,2026-07-25,Light Rain,1.08,False,1.0,1.015401517506244
DS004_20260726,DS004,2026-07-26,Clear,1.0,False,1.0,1.0222613377100505
DS004_20260727,DS004,2026-07-27,Cloudy,1.02,False,1.0,1.0118567200323463
DS004_20260728,DS004,2026-07-28,Clear,1.0,False,1.0,1.0814029321092427
DS004_20260729,DS004,2026-07-29,Clear,1.0,True,1.18,0.9965162331578996
DS004_20260730,DS004,2026-07-30,Light Rain,1.08,True,1.18,0.9877166712666169
DS004_20260731,DS004,2026-07-31,Light Rain,1.08,True,1.18,0.9698588967857049
DS004_20260801,DS004,2026-08-01,Heavy Rain,1.15,False,1.0,0.9587094931768865
DS004_20260802,DS004,2026-08-02,Clear,1.0,True,1.18,0.950221128495957
DS004_20260803,DS004,2026-08-03,Cloudy,1.02,False,1.0,0.9644481074707633
DS004_20260804,DS004,2026-08-04,Cloudy,1.02,False,1.0,0.9971727847339171
DS004_20260805,DS004,2026-08-05,Clear,1.0,False,1.0,1.0133718051399085
DS004_20260806,DS004,2026-08-06,Clear,1.0,False,1.0,1.0020456823420865
DS004_20260807,DS004,2026-08-07,Cloudy,1.02,False,1.0,0.9693785889028115
DS004_20260808,DS004,2026-08-08,Clear,1.0,False,1.0,1.0360073825607985
DS004_20260809,DS004,2026-08-09,Light Rain,1.08,False,1.0,1.029576506892038
DS004_20260810,DS004,2026-08-10,Cloudy,1.02,True,1.18,0.9936140677031193
DS004_20260811,DS004,2026-08-11,Light Rain,1.08,False,1.0,0.9738833542134115
DS004_20260812,DS004,2026-08-12,Light Rain,1.08,False,1.0,1.0219371168331919
DS004_20260813,DS004,2026-08-13,Clear,1.0,False,1.0,1.0075189434994443
DS004_20260814,DS004,2026-08-14,Light Rain,1.08,False,1.0,0.9420749096233981
DS004_20260815,DS004,2026-08-15,Light Rain,1.08,False,1.0,0.9972807897606238
DS004_20260816,DS004,2026-08-16,Cloudy,1.02,True,1.18,1.0104814324829752
DS004_20260817,DS004,2026-08-17,Clear,1.0,False,1.0,0.9640122085404899
DS004_20260818,DS004,2026-08-18,Light Rain,1.08,False,1.0,1.0075937357134976
DS004_20260819,DS004,2026-08-19,Clear,1.0,True,1.18,0.9418071005896884
DS004_20260820,DS004,2026-08-20,Clear,1.0,False,1.0,1.0534474440004868
DS004_20260821,DS004,2026-08-21,Clear,1.0,True,1.18,1.0499179994023773
DS004_20260822,DS004,2026-08-22,Light Rain,1.08,False,1.0,0.9898993066278814
DS004_20260823,DS004,2026-08-23,Light Rain,1.08,True,1.18,1.014538173513563
DS004_20260824,DS004,2026-08-24,Light Rain,1.08,False,1.0,0.903603121368005
DS004_20260825,DS004,2026-08-25,Light Rain,1.08,False,1.0,0.9537460935893867
DS004_20260826,DS004,2026-08-26,Cloudy,1.02,False,1.0,0.9882488431939148
DS004_20260827,DS004,2026-08-27,Cloudy,1.02,False,1.0,0.9571146791429256
DS004_20260828,DS004,2026-08-28,Clear,1.0,False,1.0,1.0285758593052263
DS004_20260829,DS004,2026-08-29,Clear,1.0,False,1.0,1.0798918612299198
DS005_20260701,DS005,2026-07-01,Light Rain,1.08,False,1.0,0.9529354112228279
DS005_20260702,DS005,2026-07-02,Cloudy,1.02,False,1.0,0.9665014638365923
DS005_20260703,DS005,2026-07-03,Heavy Rain,1.15,False,1.0,1.0094179347323973
DS005_20260704,DS005,2026-07-04,Light Rain,1.08,False,1.0,1.0644446459399848
DS005_20260705,DS005,2026-07-05,Clear,1.0,False,1.0,0.9511050274984039
DS005_20260706,DS005,2026-07-06,Heavy Rain,1.15,False,1.0,1.0099614448922776
DS005_20260707,DS005,2026-07-07,Light Rain,1.08,False,1.0,1.0728519540325243
DS005_20260708,DS005,2026-07-08,Light Rain,1.08,False,1.0,0.9339296340728294
DS005_20260709,DS005,2026-07-09,Clear,1.0,False,1.0,0.9487572317261668
DS005_20260710,DS005,2026-07-10,Cloudy,1.02,False,1.0,0.9830557357415665
DS005_20260711,DS005,2026-07-11,Cloudy,1.02,False,1.0,0.9791764634857836
DS005_20260712,DS005,2026-07-12,Heavy Rain,1.15,False,1.0,1.0325040515101458
DS005_20260713,DS005,2026-07-13,Light Rain,1.08,False,1.0,1.0096663887928334
DS005_20260714,DS005,2026-07-14,Light Rain,1.08,False,1.0,0.9290015176143148
DS005_20260715,DS005,2026-07-15,Cloudy,1.02,False,1.0,1.0206164161160325
DS005_20260716,DS005,2026-07-16,Clear,1.0,False,1.0,0.976898444505774
DS005_20260717,DS005,2026-07-17,Cloudy,1.02,False,1.0,1.0509778886776495
DS005_20260718,DS005,2026-07-18,Clear,1.0,False,1.0,0.9748964985425232
DS005_20260719,DS005,2026-07-19,Light Rain,1.08,False,1.0,0.9745353886759106
DS005_20260720,DS005,2026-07-20,Light Rain,1.08,False,1.0,1.0216452644321812
DS005_20260721,DS005,2026-07-21,Light Rain,1.08,False,1.0,1.0305170592934774
DS005_20260722,DS005,2026-07-22,Cloudy,1.02,False,1.0,1.0179239745574482
DS005_20260723,DS005,2026-07-23,Heavy Rain,1.15,False,1.0,0.9325761073046077
DS005_20260724,DS005,2026-07-24,Heavy Rain,1.15,False,1.0,1.0215213775971301
DS005_20260725,DS005,2026-07-25,Light Rain,1.08,False,1.0,0.9586276779330241
DS005_20260726,DS005,2026-07-26,Clear,1.0,False,1.0,1.0094110444635305
DS005_20260727,DS005,2026-07-27,Cloudy,1.02,False,1.0,0.9430506225840376
DS005_20260728,DS005,2026-07-28,Clear,1.0,False,1.0,1.0178528859017226
DS005_20260729,DS005,2026-07-29,Clear,1.0,False,1.0,0.9677360438277051
DS005_20260730,DS005,2026-07-30,Light Rain,1.08,False,1.0,0.9486946139895791
DS005_20260731,DS005,2026-07-31,Light Rain,1.08,False,1.0,1.028552805459296
DS005_20260801,DS005,2026-08-01,Heavy Rain,1.15,False,1.0,1.0096657808670702
DS005_20260802,DS005,2026-08-02,Clear,1.0,False,1.0,0.9754409279442842
DS005_20260803,DS005,2026-08-03,Cloudy,1.02,False,1.0,1.0580471539608425
DS005_20260804,DS005,2026-08-04,Cloudy,1.02,False,1.0,0.9823739031372103
DS005_20260805,DS005,2026-08-05,Clear,1.0,False,1.0,1.0012843069588373
DS005_20260806,DS005,2026-08-06,Clear,1.0,True,1.18,1.0107565379071441
DS005_20260807,DS005,2026-08-07,Cloudy,1.02,False,1.0,0.9752133626348555
DS005_20260808,DS005,2026-08-08,Clear,1.0,True,1.18,1.0188454517359973
DS005_20260809,DS005,2026-08-09,Light Rain,1.08,False,1.0,0.978661906113411
DS005_20260810,DS005,2026-08-10,Cloudy,1.02,False,1.0,0.9835344671113516
DS005_20260811,DS005,2026-08-11,Light Rain,1.08,False,1.0,1.0545057055921336
DS005_20260812,DS005,2026-08-12,Light Rain,1.08,False,1.0,0.9583765578995027
DS005_20260813,DS005,2026-08-13,Clear,1.0,False,1.0,0.9034887867628204
DS005_20260814,DS005,2026-08-14,Light Rain,1.08,False,1.0,1.0644374798004759
DS005_20260815,DS005,2026-08-15,Light Rain,1.08,False,1.0,1.1019731181042802
DS005_20260816,DS005,2026-08-16,Cloudy,1.02,False,1.0,0.9837892293820267
DS005_20260817,DS005,2026-08-17,Clear,1.0,False,1.0,0.9225264783751926
DS005_20260818,DS005,2026-08-18,Light Rain,1.08,False,1.0,0.9875806409521622
DS005_20260819,DS005,2026-08-19,Clear,1.0,True,1.18,0.9885510820063732
DS005_20260820,DS005,2026-08-20,Clear,1.0,False,1.0,0.9924030463591097
DS005_20260821,DS005,2026-08-21,Clear,1.0,False,1.0,0.9554644783231261
DS005_20260822,DS005,2026-08-22,Light Rain,1.08,False,1.0,1.023182445699059
DS005_20260823,DS005,2026-08-23,Light Rain,1.08,False,1.0,1.0209802950114435
DS005_20260824,DS005,2026-08-24,Light Rain,1.08,False,1.0,0.9402237752072278
DS005_20260825,DS005,2026-08-25,Light Rain,1.08,False,1.0,1.0279678692677956
DS005_20260826,DS005,2026-08-26,Cloudy,1.02,False,1.0,1.0821073992778356
DS005_20260827,DS005,2026-08-27,Cloudy,1.02,False,1.0,1.0068784132974824
DS005_20260828,DS005,2026-08-28,Clear,1.0,False,1.0,0.9865069935172598
DS005_20260829,DS005,2026-08-29,Clear,1.0,False,1.0,0.9943198714236992
