Issue_ID,Order_ID,Order_Item_ID,Store_ID,Product_ID,Issue_Type,Financial_Impact_INR,Probable_Process_Stage,Probable_Worker_ID,Root_Cause_Status,Resolution_Type
QI00000085,ORD000002437,ITEM0000009152,DS001,SKU0097,Missing Item,366.04,Inventory Accuracy / Putaway,P_DS001_021,Unconfirmed,Refund
QI00000086,ORD000002446,ITEM0000009186,DS001,SKU0140,Missing Item,236.01,Inventory Accuracy / Putaway,P_DS001_012,Unconfirmed,Refund
QI00000087,ORD000002458,ITEM0000009233,DS001,SKU0029,Missing Item,98.74,Inventory Accuracy / Putaway,P_DS001_015,Unconfirmed,Replacement
QI00000088,ORD000002523,ITEM0000009478,DS001,SKU0151,Damaged Item,103.12,Putaway / Picking Handling,,Unconfirmed,Refund
QI00000089,ORD000002589,ITEM0000009723,DS001,SKU0206,Missing Item,332.76,Inventory Accuracy / Putaway,P_DS001_022,Unconfirmed,Refund
QI00000090,ORD000002593,ITEM0000009735,DS001,SKU0286,Missing Item,143.99,Inventory Accuracy / Putaway,P_DS001_022,Unconfirmed,Refund
QI00000091,ORD000002595,ITEM0000009748,DS001,SKU0209,Missing Item,102.71,Inventory Accuracy / Putaway,P_DS001_022,Unconfirmed,Replacement
QI00000092,ORD000002632,ITEM0000009889,DS001,SKU0122,Damaged Item,520.1,Putaway / Picking Handling,,Unconfirmed,Refund
QI00000093,ORD000002640,ITEM0000009922,DS001,SKU0061,Missing Item,189.31,Inventory Accuracy / Putaway,P_DS001_010,Unconfirmed,Refund
QI00000094,ORD000002667,ITEM0000010020,DS001,SKU0143,Wrong Item,403.36,Shelf Placement / Picking Verification,P_DS001_013,Unconfirmed,Replacement
QI00000095,ORD000002682,ITEM0000010078,DS001,SKU0145,Missing Item,274.34,Inventory Accuracy / Putaway,P_DS001_013,Unconfirmed,Refund
QI00000096,ORD000002723,ITEM0000010232,DS001,SKU0176,Damaged Item,413.3,Putaway / Picking Handling,,Unconfirmed,Replacement
QI00000097,ORD000002756,ITEM0000010365,DS001,SKU0079,Missing Item,226.06,Inventory Accuracy / Putaway,P_DS001_019,Unconfirmed,Refund
QI00000098,ORD000002767,ITEM0000010406,DS001,SKU0042,Missing Item,606.5,Inventory Accuracy / Putaway,P_DS001_028,Unconfirmed,Refund
QI00000099,ORD000002845,ITEM0000010691,DS001,SKU0061,Wrong Item,189.31,Picking,P_DS001_031,Unconfirmed,Refund
QI00000100,ORD000002845,ITEM0000010692,DS001,SKU0280,Missing Item,233.69,Inventory Accuracy / Putaway,P_DS001_031,Unconfirmed,Refund
QI00000101,ORD000002850,ITEM0000010711,DS001,SKU0071,Missing Item,120.79,Inventory Accuracy / Putaway,P_DS001_035,Unconfirmed,Refund
QI00000102,ORD000002957,ITEM0000011110,DS001,SKU0013,Missing Item,286.53,Inventory Accuracy / Putaway,P_DS001_029,Unconfirmed,Replacement
QI00000103,ORD000002988,ITEM0000011226,DS001,SKU0195,Wrong Item,613.68,Picking,P_DS001_014,Unconfirmed,Refund
QI00000104,ORD000002997,ITEM0000011259,DS001,SKU0128,Missing Item,78.55,Inventory Accuracy / Putaway,P_DS001_023,Unconfirmed,Refund
QI00000105,ORD000003021,ITEM0000011341,DS001,SKU0081,Damaged Item,87.92,Putaway / Picking Handling,,Unconfirmed,Replacement
QI00000106,ORD000003065,ITEM0000011500,DS001,SKU0090,Wrong Item,260.5,Picking,P_DS001_005,Unconfirmed,Refund
QI00000107,ORD000003096,ITEM0000011631,DS001,SKU0295,Wrong Item,228.23,Picking,P_DS001_014,Unconfirmed,Refund
QI00000108,ORD000003160,ITEM0000011856,DS001,SKU0085,Missing Item,938.8,Inventory Accuracy / Putaway,P_DS001_023,Unconfirmed,Refund
QI00000109,ORD000003199,ITEM0000012009,DS001,SKU0013,Missing Item,573.06,Inventory Accuracy / Putaway,P_DS001_014,Unconfirmed,Refund
QI00000110,ORD000003214,ITEM0000012066,DS001,SKU0142,Missing Item,162.69,Inventory Accuracy / Putaway,P_DS001_005,Unconfirmed,Refund
QI00000111,ORD000003226,ITEM0000012124,DS001,SKU0170,Missing Item,570.49,Inventory Accuracy / Putaway,P_DS001_020,Unconfirmed,Refund
QI00000112,ORD000003285,ITEM0000012335,DS001,SKU0281,Missing Item,793.17,Inventory Accuracy / Putaway,P_DS001_035,Unconfirmed,Replacement
QI00000113,ORD000003317,ITEM0000012447,DS001,SKU0152,Damaged Item,1212.82,Putaway / Picking Handling,,Unconfirmed,Refund
QI00000114,ORD000003335,ITEM0000012510,DS001,SKU0091,Wrong Item,307.74,Picking,P_DS001_014,Unconfirmed,Refund
QI00000115,ORD000003403,ITEM0000012773,DS001,SKU0021,Wrong Item,387.42,Picking,P_DS001_029,Unconfirmed,Replacement
QI00000116,ORD000003481,ITEM0000013060,DS001,SKU0007,Missing Item,249.24,Inventory Accuracy / Putaway,P_DS001_035,Unconfirmed,Refund
QI00000117,ORD000003510,ITEM0000013163,DS001,SKU0044,Wrong Item,196.42,Picking,P_DS001_017,Unconfirmed,Refund
QI00000118,ORD000003538,ITEM0000013270,DS001,SKU0018,Missing Item,292.04,Inventory Accuracy / Putaway,P_DS001_020,Unconfirmed,Replacement
QI00000119,ORD000003657,ITEM0000013734,DS001,SKU0253,Missing Item,253.2,Inventory Accuracy / Putaway,P_DS001_005,Unconfirmed,Refund
QI00000120,ORD000003711,ITEM0000013951,DS001,SKU0013,Missing Item,286.53,Inventory Accuracy / Putaway,P_DS001_014,Unconfirmed,Replacement
QI00000121,ORD000003716,ITEM0000013965,DS001,SKU0192,Damaged Item,219.06,Putaway / Picking Handling,,Unconfirmed,Refund
QI00000122,ORD000003835,ITEM0000014425,DS001,SKU0022,Missing Item,1338.09,Inventory Accuracy / Putaway,P_DS001_035,Unconfirmed,Replacement
QI00000123,ORD000003857,ITEM0000014497,DS001,SKU0152,Missing Item,606.41,Inventory Accuracy / Putaway,P_DS001_015,Unconfirmed,Replacement
QI00000124,ORD000003928,ITEM0000014757,DS001,SKU0264,Missing Item,53.78,Inventory Accuracy / Putaway,P_DS001_033,Unconfirmed,Refund
QI00000125,ORD000003940,ITEM0000014804,DS001,SKU0022,Damaged Item,446.03,Putaway / Picking Handling,,Unconfirmed,Refund
QI00000126,ORD000004017,ITEM0000015100,DS001,SKU0191,Damaged Item,659.63,Putaway / Picking Handling,,Unconfirmed,Refund
QI00000127,ORD000004132,ITEM0000015546,DS001,SKU0129,Missing Item,21.75,Inventory Accuracy / Putaway,P_DS001_024,Unconfirmed,Refund
QI00000128,ORD000004154,ITEM0000015628,DS001,SKU0219,Missing Item,689.18,Inventory Accuracy / Putaway,P_DS001_015,Unconfirmed,Refund
QI00000129,ORD000004218,ITEM0000015878,DS001,SKU0277,Missing Item,372.81,Inventory Accuracy / Putaway,P_DS001_012,Unconfirmed,Replacement
QI00000130,ORD000004261,ITEM0000016029,DS001,SKU0102,Missing Item,107.01,Inventory Accuracy / Putaway,P_DS001_006,Unconfirmed,Refund
QI00000131,ORD000004270,ITEM0000016068,DS001,SKU0198,Wrong Item,707.66,Shelf Placement / Picking Verification,P_DS001_015,Unconfirmed,Refund
QI00000132,ORD000004283,ITEM0000016118,DS001,SKU0166,Wrong Item,493.94,Shelf Placement / Picking Verification,P_DS001_033,Unconfirmed,Replacement
QI00000133,ORD000004294,ITEM0000016163,DS001,SKU0281,Missing Item,528.78,Inventory Accuracy / Putaway,P_DS001_012,Unconfirmed,Refund
QI00000134,ORD000004301,ITEM0000016184,DS001,SKU0263,Damaged Item,234.1,Putaway / Picking Handling,,Unconfirmed,Refund
QI00000135,ORD000004378,ITEM0000016471,DS001,SKU0277,Missing Item,372.81,Inventory Accuracy / Putaway,P_DS001_012,Unconfirmed,Refund
QI00000136,ORD000004392,ITEM0000016527,DS001,SKU0203,Missing Item,130.42,Inventory Accuracy / Putaway,P_DS001_009,Unconfirmed,Refund
QI00000137,ORD000004394,ITEM0000016531,DS001,SKU0185,Missing Item,196.9,Inventory Accuracy / Putaway,P_DS001_036,Unconfirmed,Refund
QI00000138,ORD000004526,ITEM0000017031,DS001,SKU0013,Missing Item,573.06,Inventory Accuracy / Putaway,P_DS001_024,Unconfirmed,Replacement
QI00000139,ORD000004577,ITEM0000017223,DS001,SKU0130,Missing Item,44.48,Inventory Accuracy / Putaway,P_DS001_015,Unconfirmed,Refund
QI00000140,ORD000004610,ITEM0000017335,DS001,SKU0012,Missing Item,460.3,Inventory Accuracy / Putaway,P_DS001_025,Unconfirmed,Refund
QI00000141,ORD000004628,ITEM0000017403,DS001,SKU0016,Wrong Item,413.32,Picking,P_DS001_015,Unconfirmed,Refund
QI00000142,ORD000004690,ITEM0000017658,DS001,SKU0249,Missing Item,489.26,Inventory Accuracy / Putaway,P_DS001_030,Unconfirmed,Replacement
QI00000143,ORD000004731,ITEM0000017780,DS001,SKU0141,Missing Item,106.65,Inventory Accuracy / Putaway,P_DS001_024,Unconfirmed,Refund
QI00000144,ORD000004803,ITEM0000018051,DS001,SKU0022,Missing Item,892.06,Inventory Accuracy / Putaway,P_DS001_021,Unconfirmed,Refund
QI00000145,ORD000004840,ITEM0000018195,DS001,SKU0244,Missing Item,134.3,Inventory Accuracy / Putaway,P_DS001_006,Unconfirmed,Refund
QI00000146,ORD000004855,ITEM0000018240,DS001,SKU0236,Missing Item,554.88,Inventory Accuracy / Putaway,P_DS001_036,Unconfirmed,Refund
QI00000147,ORD000004908,ITEM0000018427,DS001,SKU0013,Wrong Item,573.06,Shelf Placement / Picking Verification,P_DS001_015,Unconfirmed,Replacement
QI00000148,ORD000004923,ITEM0000018479,DS001,SKU0197,Missing Item,260.58,Inventory Accuracy / Putaway,P_DS001_012,Unconfirmed,Refund
QI00000149,ORD000004931,ITEM0000018510,DS001,SKU0150,Missing Item,178.21,Inventory Accuracy / Putaway,P_DS001_006,Unconfirmed,Replacement
QI00000150,ORD000004932,ITEM0000018515,DS001,SKU0085,Missing Item,469.4,Inventory Accuracy / Putaway,P_DS001_030,Unconfirmed,Refund
QI00000151,ORD000004949,ITEM0000018567,DS001,SKU0222,Missing Item,117.02,Inventory Accuracy / Putaway,P_DS001_030,Unconfirmed,Refund
QI00000152,ORD000004987,ITEM0000018690,DS001,SKU0076,Missing Item,267.05,Inventory Accuracy / Putaway,P_DS001_009,Unconfirmed,Refund
QI00000153,ORD000005004,ITEM0000018740,DS001,SKU0131,Wrong Item,255.32,Picking,P_DS001_036,Unconfirmed,Replacement
QI00000154,ORD000005128,ITEM0000019167,DS001,SKU0273,Missing Item,303.86,Inventory Accuracy / Putaway,P_DS001_022,Unconfirmed,Replacement
QI00000155,ORD000005144,ITEM0000019232,DS001,SKU0018,Damaged Item,292.04,Rider Handling / Last Mile,,Unconfirmed,Replacement
QI00000156,ORD000005192,ITEM0000019427,DS001,SKU0015,Missing Item,318.96,Inventory Accuracy / Putaway,P_DS001_028,Unconfirmed,Refund
QI00000157,ORD000005210,ITEM0000019497,DS001,SKU0241,Damaged Item,463.33,Putaway / Picking Handling,,Unconfirmed,Refund
QI00000158,ORD000005213,ITEM0000019506,DS001,SKU0051,Damaged Item,25.15,Putaway / Picking Handling,,Unconfirmed,Refund
QI00000159,ORD000005234,ITEM0000019587,DS001,SKU0062,Wrong Item,668.4,Shelf Placement / Picking Verification,P_DS001_007,Unconfirmed,Refund
QI00000160,ORD000005242,ITEM0000019614,DS001,SKU0187,Damaged Item,289.61,Putaway / Picking Handling,,Unconfirmed,Replacement
QI00000161,ORD000005326,ITEM0000019941,DS001,SKU0080,Wrong Item,77.19,Picking,P_DS001_007,Unconfirmed,Refund
QI00000162,ORD000005339,ITEM0000019997,DS001,SKU0119,Damaged Item,182.02,Putaway / Picking Handling,,Unconfirmed,Refund
QI00000163,ORD000005345,ITEM0000020019,DS001,SKU0158,Damaged Item,145.24,Putaway / Picking Handling,,Unconfirmed,Refund
QI00000164,ORD000005348,ITEM0000020032,DS001,SKU0127,Missing Item,229.21,Inventory Accuracy / Putaway,P_DS001_007,Unconfirmed,Refund
QI00000165,ORD000005366,ITEM0000020100,DS001,SKU0080,Missing Item,154.38,Inventory Accuracy / Putaway,P_DS001_017,Unconfirmed,Replacement
QI00000166,ORD000005429,ITEM0000020329,DS001,SKU0131,Missing Item,255.32,Inventory Accuracy / Putaway,P_DS001_032,Unconfirmed,Refund
QI00000167,ORD000005446,ITEM0000020396,DS001,SKU0064,Damaged Item,344.62,Putaway / Picking Handling,,Unconfirmed,Refund
QI00000168,ORD000005475,ITEM0000020498,DS001,SKU0084,Damaged Item,111.02,Putaway / Picking Handling,,Unconfirmed,Replacement
QI00000169,ORD000005475,ITEM0000020500,DS001,SKU0131,Missing Item,510.64,Inventory Accuracy / Putaway,P_DS001_029,Unconfirmed,Refund
QI00000170,ORD000005506,ITEM0000020607,DS001,SKU0278,Damaged Item,449.76,Putaway / Picking Handling,,Unconfirmed,Replacement
QI00000171,ORD000005584,ITEM0000020897,DS001,SKU0199,Missing Item,138.52,Inventory Accuracy / Putaway,P_DS001_035,Unconfirmed,Refund
QI00000172,ORD000005618,ITEM0000021041,DS001,SKU0099,Damaged Item,325.38,Putaway / Picking Handling,,Unconfirmed,Refund
QI00000173,ORD000005633,ITEM0000021084,DS001,SKU0021,Missing Item,387.42,Inventory Accuracy / Putaway,P_DS001_017,Unconfirmed,Refund
QI00000174,ORD000005634,ITEM0000021087,DS001,SKU0084,Wrong Item,111.02,Shelf Placement / Picking Verification,P_DS001_002,Unconfirmed,Refund
QI00000175,ORD000005668,ITEM0000021214,DS001,SKU0137,Missing Item,262.56,Inventory Accuracy / Putaway,P_DS001_002,Unconfirmed,Refund
QI00000176,ORD000005708,ITEM0000021372,DS001,SKU0007,Missing Item,83.08,Inventory Accuracy / Putaway,P_DS001_020,Unconfirmed,Refund
QI00000177,ORD000005728,ITEM0000021440,DS001,SKU0034,Wrong Item,251.6,Picking,P_DS001_014,Unconfirmed,Refund
QI00000178,ORD000005742,ITEM0000021497,DS001,SKU0119,Missing Item,182.02,Inventory Accuracy / Putaway,P_DS001_017,Unconfirmed,Replacement
QI00000179,ORD000005756,ITEM0000021537,DS001,SKU0267,Missing Item,400.53,Inventory Accuracy / Putaway,P_DS001_029,Unconfirmed,Refund
QI00000180,ORD000005771,ITEM0000021590,DS001,SKU0198,Missing Item,353.83,Inventory Accuracy / Putaway,P_DS001_002,Unconfirmed,Refund
QI00000181,ORD000005772,ITEM0000021595,DS001,SKU0037,Missing Item,75.95,Inventory Accuracy / Putaway,P_DS001_002,Unconfirmed,Replacement
QI00000182,ORD000005779,ITEM0000021616,DS001,SKU0073,Missing Item,304.74,Inventory Accuracy / Putaway,P_DS001_032,Unconfirmed,Refund
QI00000183,ORD000005837,ITEM0000021837,DS001,SKU0134,Missing Item,135.87,Inventory Accuracy / Putaway,P_DS001_002,Unconfirmed,Replacement
QI00000184,ORD000005843,ITEM0000021858,DS001,SKU0152,Missing Item,1212.82,Inventory Accuracy / Putaway,P_DS001_017,Unconfirmed,Replacement
