Order_ID,Store_Date_Interval_ID,Store_ID,Order_Date,Interval_ID,Order_Created_Time,Delivery_Distance_KM,Promotion_ID,Total_Units,Distinct_SKU_Lines,Order_Value_INR
ORD000000018,DS001_20260701_I04,DS001,2026-07-01,4,2026-07-01 01:58:40,1.58,,4,3,591.4
ORD000000019,DS001_20260701_I04,DS001,2026-07-01,4,2026-07-01 01:32:43,1.52,,8,5,1663.68
ORD000000020,DS001_20260701_I04,DS001,2026-07-01,4,2026-07-01 01:31:19,1.93,,5,3,1285.18
ORD000000021,DS001_20260701_I04,DS001,2026-07-01,4,2026-07-01 01:56:07,0.98,,5,4,1198.13
ORD000000022,DS001_20260701_I04,DS001,2026-07-01,4,2026-07-01 01:31:06,1.93,,4,3,775.11
ORD000000023,DS001_20260701_I04,DS001,2026-07-01,4,2026-07-01 01:36:34,1.73,,5,4,740.71
ORD000000024,DS001_20260701_I04,DS001,2026-07-01,4,2026-07-01 01:31:43,1.25,,2,1,458.0
ORD000000025,DS001_20260701_I04,DS001,2026-07-01,4,2026-07-01 01:55:22,1.1,,4,3,1342.82
ORD000000026,DS001_20260701_I04,DS001,2026-07-01,4,2026-07-01 01:52:12,1.49,,4,2,263.6
ORD000000027,DS001_20260701_I04,DS001,2026-07-01,4,2026-07-01 01:35:35,1.04,,4,2,1142.78
ORD000000028,DS001_20260701_I05,DS001,2026-07-01,5,2026-07-01 02:26:39,2.05,,2,1,92.6
ORD000000029,DS001_20260701_I05,DS001,2026-07-01,5,2026-07-01 02:13:39,1.33,,6,4,839.93
ORD000000030,DS001_20260701_I05,DS001,2026-07-01,5,2026-07-01 02:08:08,1.26,,1,1,387.42
ORD000000031,DS001_20260701_I05,DS001,2026-07-01,5,2026-07-01 02:18:53,1.74,,3,2,609.33
ORD000000032,DS001_20260701_I05,DS001,2026-07-01,5,2026-07-01 02:17:24,1.48,,6,5,1697.37
ORD000000033,DS001_20260701_I05,DS001,2026-07-01,5,2026-07-01 02:04:00,0.42,,2,2,517.07
ORD000000034,DS001_20260701_I05,DS001,2026-07-01,5,2026-07-01 02:05:50,1.17,,2,2,224.24
ORD000000035,DS001_20260701_I05,DS001,2026-07-01,5,2026-07-01 02:03:05,0.93,,6,4,1200.69
ORD000000036,DS001_20260701_I05,DS001,2026-07-01,5,2026-07-01 02:29:36,1.34,,5,4,753.24
ORD000000037,DS001_20260701_I06,DS001,2026-07-01,6,2026-07-01 02:34:19,1.6,,3,3,974.94
ORD000000038,DS001_20260701_I06,DS001,2026-07-01,6,2026-07-01 02:34:31,1.39,,4,3,416.49
ORD000000039,DS001_20260701_I06,DS001,2026-07-01,6,2026-07-01 02:36:24,0.27,,8,7,2096.25
ORD000000040,DS001_20260701_I06,DS001,2026-07-01,6,2026-07-01 02:52:29,1.65,,5,3,896.19
ORD000000041,DS001_20260701_I06,DS001,2026-07-01,6,2026-07-01 02:33:20,1.53,,6,4,1132.12
ORD000000042,DS001_20260701_I06,DS001,2026-07-01,6,2026-07-01 02:48:32,1.46,,7,6,1724.7
ORD000000043,DS001_20260701_I07,DS001,2026-07-01,7,2026-07-01 03:05:15,1.03,,5,4,1381.23
ORD000000044,DS001_20260701_I07,DS001,2026-07-01,7,2026-07-01 03:28:21,1.03,,6,5,2240.37
ORD000000045,DS001_20260701_I07,DS001,2026-07-01,7,2026-07-01 03:29:25,0.88,,2,1,142.08
ORD000000046,DS001_20260701_I07,DS001,2026-07-01,7,2026-07-01 03:20:49,1.33,,6,5,1264.21
ORD000000047,DS001_20260701_I07,DS001,2026-07-01,7,2026-07-01 03:00:45,0.93,,4,3,549.24
ORD000000048,DS001_20260701_I07,DS001,2026-07-01,7,2026-07-01 03:28:02,1.11,,6,5,1222.08
ORD000000049,DS001_20260701_I07,DS001,2026-07-01,7,2026-07-01 03:19:50,1.5,,4,2,425.02
ORD000000050,DS001_20260701_I07,DS001,2026-07-01,7,2026-07-01 03:06:34,0.97,,5,4,549.9
ORD000000051,DS001_20260701_I07,DS001,2026-07-01,7,2026-07-01 03:08:12,0.78,,7,6,2154.08
ORD000000052,DS001_20260701_I07,DS001,2026-07-01,7,2026-07-01 03:13:58,0.98,,5,4,738.55
ORD000000053,DS001_20260701_I08,DS001,2026-07-01,8,2026-07-01 03:33:13,1.41,,2,2,417.21
ORD000000054,DS001_20260701_I08,DS001,2026-07-01,8,2026-07-01 03:49:19,1.7,,5,4,1018.07
ORD000000055,DS001_20260701_I08,DS001,2026-07-01,8,2026-07-01 03:33:08,1.49,,3,2,962.09
ORD000000056,DS001_20260701_I08,DS001,2026-07-01,8,2026-07-01 03:54:50,1.88,,4,3,735.49
ORD000000057,DS001_20260701_I08,DS001,2026-07-01,8,2026-07-01 03:39:44,1.87,,3,2,272.2
ORD000000058,DS001_20260701_I08,DS001,2026-07-01,8,2026-07-01 03:58:37,1.63,,7,5,953.3
ORD000000059,DS001_20260701_I09,DS001,2026-07-01,9,2026-07-01 04:24:00,1.97,,3,2,643.17
ORD000000060,DS001_20260701_I09,DS001,2026-07-01,9,2026-07-01 04:06:59,0.7,,3,3,445.46
ORD000000061,DS001_20260701_I09,DS001,2026-07-01,9,2026-07-01 04:22:53,0.89,,6,5,1545.9
ORD000000062,DS001_20260701_I09,DS001,2026-07-01,9,2026-07-01 04:01:50,0.81,,6,4,2218.93
ORD000000063,DS001_20260701_I09,DS001,2026-07-01,9,2026-07-01 04:29:44,1.38,,3,2,570.64
ORD000000064,DS001_20260701_I09,DS001,2026-07-01,9,2026-07-01 04:18:24,2.23,,4,3,294.87
ORD000000065,DS001_20260701_I09,DS001,2026-07-01,9,2026-07-01 04:04:14,1.32,,9,8,2217.67
ORD000000066,DS001_20260701_I09,DS001,2026-07-01,9,2026-07-01 04:15:52,0.75,,4,3,847.76
ORD000000067,DS001_20260701_I10,DS001,2026-07-01,10,2026-07-01 04:33:52,0.69,,6,4,2240.99
ORD000000068,DS001_20260701_I10,DS001,2026-07-01,10,2026-07-01 04:39:51,1.38,,5,3,936.75
ORD000000069,DS001_20260701_I10,DS001,2026-07-01,10,2026-07-01 04:58:22,1.49,,6,4,662.06
ORD000000070,DS001_20260701_I10,DS001,2026-07-01,10,2026-07-01 04:36:21,0.81,,4,3,644.32
ORD000000071,DS001_20260701_I10,DS001,2026-07-01,10,2026-07-01 04:43:56,0.63,,4,3,1072.74
ORD000000072,DS001_20260701_I10,DS001,2026-07-01,10,2026-07-01 04:55:20,1.69,,4,3,1038.64
ORD000000073,DS001_20260701_I10,DS001,2026-07-01,10,2026-07-01 04:44:28,1.98,,2,1,195.12
ORD000000074,DS001_20260701_I10,DS001,2026-07-01,10,2026-07-01 04:48:17,1.45,,4,3,733.71
ORD000000075,DS001_20260701_I11,DS001,2026-07-01,11,2026-07-01 05:11:07,1.15,,6,5,1297.81
ORD000000076,DS001_20260701_I11,DS001,2026-07-01,11,2026-07-01 05:20:18,1.36,,4,2,874.56
ORD000000077,DS001_20260701_I11,DS001,2026-07-01,11,2026-07-01 05:11:40,1.63,,3,3,519.03
ORD000000078,DS001_20260701_I11,DS001,2026-07-01,11,2026-07-01 05:23:59,1.48,,6,4,1171.04
ORD000000079,DS001_20260701_I11,DS001,2026-07-01,11,2026-07-01 05:13:47,1.51,,2,2,336.86
ORD000000080,DS001_20260701_I11,DS001,2026-07-01,11,2026-07-01 05:01:18,1.15,,4,3,635.0
ORD000000081,DS001_20260701_I11,DS001,2026-07-01,11,2026-07-01 05:28:44,1.82,,5,4,997.18
ORD000000082,DS001_20260701_I11,DS001,2026-07-01,11,2026-07-01 05:17:53,0.83,,3,2,902.38
ORD000000083,DS001_20260701_I11,DS001,2026-07-01,11,2026-07-01 05:16:41,1.34,,4,2,2328.4
ORD000000084,DS001_20260701_I11,DS001,2026-07-01,11,2026-07-01 05:25:03,1.38,,6,5,1066.07
ORD000000085,DS001_20260701_I11,DS001,2026-07-01,11,2026-07-01 05:05:10,0.93,,6,5,1734.12
ORD000000086,DS001_20260701_I11,DS001,2026-07-01,11,2026-07-01 05:26:07,1.43,,9,7,1830.44
ORD000000087,DS001_20260701_I11,DS001,2026-07-01,11,2026-07-01 05:23:22,1.6,,3,3,557.51
ORD000000088,DS001_20260701_I11,DS001,2026-07-01,11,2026-07-01 05:17:06,0.73,,4,3,402.89
ORD000000089,DS001_20260701_I11,DS001,2026-07-01,11,2026-07-01 05:23:53,2.4,,5,4,855.77
ORD000000090,DS001_20260701_I12,DS001,2026-07-01,12,2026-07-01 05:44:31,1.89,,5,3,1364.87
ORD000000091,DS001_20260701_I12,DS001,2026-07-01,12,2026-07-01 05:53:54,0.85,,5,4,711.66
ORD000000092,DS001_20260701_I12,DS001,2026-07-01,12,2026-07-01 05:53:26,2.23,,4,4,943.7
ORD000000093,DS001_20260701_I12,DS001,2026-07-01,12,2026-07-01 05:48:31,1.09,,9,8,2506.98
ORD000000094,DS001_20260701_I12,DS001,2026-07-01,12,2026-07-01 05:49:40,0.42,,12,10,3314.88
ORD000000095,DS001_20260701_I12,DS001,2026-07-01,12,2026-07-01 05:51:09,1.66,,5,4,1077.3
ORD000000096,DS001_20260701_I12,DS001,2026-07-01,12,2026-07-01 05:55:09,2.32,,7,6,983.71
ORD000000097,DS001_20260701_I12,DS001,2026-07-01,12,2026-07-01 05:54:38,1.85,,4,3,901.66
ORD000000098,DS001_20260701_I12,DS001,2026-07-01,12,2026-07-01 05:52:06,0.7,,3,3,662.66
ORD000000099,DS001_20260701_I12,DS001,2026-07-01,12,2026-07-01 05:43:52,1.05,,1,1,255.32
ORD000000100,DS001_20260701_I12,DS001,2026-07-01,12,2026-07-01 05:34:58,1.75,,6,4,976.0
ORD000000101,DS001_20260701_I12,DS001,2026-07-01,12,2026-07-01 05:45:23,0.38,,3,2,659.4
ORD000000102,DS001_20260701_I12,DS001,2026-07-01,12,2026-07-01 05:51:54,1.25,,6,4,2070.95
ORD000000103,DS001_20260701_I12,DS001,2026-07-01,12,2026-07-01 05:40:44,2.03,,6,5,1482.06
ORD000000104,DS001_20260701_I12,DS001,2026-07-01,12,2026-07-01 05:34:09,0.64,,1,1,134.94
ORD000000105,DS001_20260701_I12,DS001,2026-07-01,12,2026-07-01 05:50:52,0.92,,3,2,478.44
ORD000000106,DS001_20260701_I13,DS001,2026-07-01,13,2026-07-01 06:02:46,1.2,,4,4,796.6
ORD000000107,DS001_20260701_I13,DS001,2026-07-01,13,2026-07-01 06:14:49,0.85,,5,4,1875.12
ORD000000108,DS001_20260701_I13,DS001,2026-07-01,13,2026-07-01 06:03:34,0.75,,5,4,1918.03
ORD000000109,DS001_20260701_I13,DS001,2026-07-01,13,2026-07-01 06:04:58,2.13,,7,5,1511.78
ORD000000110,DS001_20260701_I13,DS001,2026-07-01,13,2026-07-01 06:00:54,1.94,,6,5,1346.84
ORD000000111,DS001_20260701_I13,DS001,2026-07-01,13,2026-07-01 06:08:00,1.86,,3,2,736.29
ORD000000112,DS001_20260701_I13,DS001,2026-07-01,13,2026-07-01 06:27:21,0.49,,1,1,292.04
ORD000000113,DS001_20260701_I13,DS001,2026-07-01,13,2026-07-01 06:04:08,1.02,,4,2,1553.27
ORD000000114,DS001_20260701_I13,DS001,2026-07-01,13,2026-07-01 06:06:43,1.35,,3,2,622.72
ORD000000115,DS001_20260701_I13,DS001,2026-07-01,13,2026-07-01 06:22:58,1.41,,5,3,538.52
ORD000000116,DS001_20260701_I13,DS001,2026-07-01,13,2026-07-01 06:24:46,0.43,,6,4,2158.18
ORD000000117,DS001_20260701_I13,DS001,2026-07-01,13,2026-07-01 06:06:57,1.86,,7,5,919.79
ORD000000118,DS001_20260701_I13,DS001,2026-07-01,13,2026-07-01 06:28:53,1.41,,3,2,1039.37
ORD000000119,DS001_20260701_I14,DS001,2026-07-01,14,2026-07-01 06:55:10,1.34,,5,4,1592.66
ORD000000120,DS001_20260701_I14,DS001,2026-07-01,14,2026-07-01 06:45:13,1.39,,6,5,2170.08
ORD000000121,DS001_20260701_I14,DS001,2026-07-01,14,2026-07-01 06:35:08,1.14,,6,4,1756.85
ORD000000122,DS001_20260701_I14,DS001,2026-07-01,14,2026-07-01 06:58:25,0.78,,5,3,797.32
ORD000000123,DS001_20260701_I14,DS001,2026-07-01,14,2026-07-01 06:35:47,0.74,,3,3,1147.1
ORD000000124,DS001_20260701_I14,DS001,2026-07-01,14,2026-07-01 06:47:17,0.87,,6,4,1287.18
ORD000000125,DS001_20260701_I14,DS001,2026-07-01,14,2026-07-01 06:59:33,1.04,,4,3,557.72
ORD000000126,DS001_20260701_I14,DS001,2026-07-01,14,2026-07-01 06:53:26,1.62,,10,7,2842.1
ORD000000127,DS001_20260701_I14,DS001,2026-07-01,14,2026-07-01 06:31:09,0.53,,3,2,396.35
ORD000000128,DS001_20260701_I14,DS001,2026-07-01,14,2026-07-01 06:43:58,1.37,,4,3,490.41
ORD000000129,DS001_20260701_I14,DS001,2026-07-01,14,2026-07-01 06:30:23,1.49,,5,4,545.61
ORD000000130,DS001_20260701_I14,DS001,2026-07-01,14,2026-07-01 06:43:33,1.17,,6,5,1116.58
ORD000000131,DS001_20260701_I14,DS001,2026-07-01,14,2026-07-01 06:36:32,1.39,,6,4,1617.23
ORD000000132,DS001_20260701_I14,DS001,2026-07-01,14,2026-07-01 06:53:37,1.84,,1,1,250.7
ORD000000133,DS001_20260701_I14,DS001,2026-07-01,14,2026-07-01 06:52:36,1.78,,5,3,1198.42
ORD000000134,DS001_20260701_I14,DS001,2026-07-01,14,2026-07-01 06:32:53,0.62,,5,4,1167.82
ORD000000135,DS001_20260701_I14,DS001,2026-07-01,14,2026-07-01 06:48:19,0.89,,5,4,536.0
ORD000000136,DS001_20260701_I14,DS001,2026-07-01,14,2026-07-01 06:39:42,0.95,,5,4,744.59
ORD000000137,DS001_20260701_I14,DS001,2026-07-01,14,2026-07-01 06:52:47,1.45,,7,4,1430.5
ORD000000138,DS001_20260701_I15,DS001,2026-07-01,15,2026-07-01 07:19:25,1.87,,8,7,1718.3
ORD000000139,DS001_20260701_I15,DS001,2026-07-01,15,2026-07-01 07:22:38,1.13,,4,2,733.56
ORD000000140,DS001_20260701_I15,DS001,2026-07-01,15,2026-07-01 07:18:53,1.34,,7,4,1654.18
ORD000000141,DS001_20260701_I15,DS001,2026-07-01,15,2026-07-01 07:26:18,0.43,,4,3,559.69
ORD000000142,DS001_20260701_I15,DS001,2026-07-01,15,2026-07-01 07:03:35,1.03,,5,3,1259.65
ORD000000143,DS001_20260701_I15,DS001,2026-07-01,15,2026-07-01 07:22:03,2.42,,5,4,574.3
ORD000000144,DS001_20260701_I15,DS001,2026-07-01,15,2026-07-01 07:22:56,1.17,,10,6,2195.84
ORD000000145,DS001_20260701_I15,DS001,2026-07-01,15,2026-07-01 07:02:17,1.32,,7,5,2306.43
ORD000000146,DS001_20260701_I15,DS001,2026-07-01,15,2026-07-01 07:11:55,1.4,,6,4,2083.59
ORD000000147,DS001_20260701_I15,DS001,2026-07-01,15,2026-07-01 07:03:39,1.59,,11,7,1495.96
ORD000000148,DS001_20260701_I15,DS001,2026-07-01,15,2026-07-01 07:07:57,1.02,,1,1,511.98
ORD000000149,DS001_20260701_I15,DS001,2026-07-01,15,2026-07-01 07:09:56,1.43,,3,2,632.55
ORD000000150,DS001_20260701_I15,DS001,2026-07-01,15,2026-07-01 07:02:44,0.95,,4,3,1183.06
ORD000000151,DS001_20260701_I15,DS001,2026-07-01,15,2026-07-01 07:18:09,2.26,,7,6,1626.12
ORD000000152,DS001_20260701_I15,DS001,2026-07-01,15,2026-07-01 07:25:50,1.23,,6,4,656.96
ORD000000153,DS001_20260701_I15,DS001,2026-07-01,15,2026-07-01 07:13:56,1.27,,4,4,359.1
ORD000000154,DS001_20260701_I15,DS001,2026-07-01,15,2026-07-01 07:07:25,1.05,,9,6,1477.08
ORD000000155,DS001_20260701_I15,DS001,2026-07-01,15,2026-07-01 07:07:11,1.29,,8,7,1441.55
ORD000000156,DS001_20260701_I15,DS001,2026-07-01,15,2026-07-01 07:15:34,1.3,,7,5,1083.11
ORD000000157,DS001_20260701_I15,DS001,2026-07-01,15,2026-07-01 07:05:42,0.74,,2,1,171.4
ORD000000158,DS001_20260701_I15,DS001,2026-07-01,15,2026-07-01 07:13:29,0.56,,5,4,722.64
ORD000000159,DS001_20260701_I15,DS001,2026-07-01,15,2026-07-01 07:13:38,2.01,,5,3,1860.39
ORD000000160,DS001_20260701_I15,DS001,2026-07-01,15,2026-07-01 07:12:45,2.19,,6,4,837.1
ORD000000161,DS001_20260701_I15,DS001,2026-07-01,15,2026-07-01 07:02:43,1.54,,12,10,2325.17
ORD000000162,DS001_20260701_I15,DS001,2026-07-01,15,2026-07-01 07:17:26,1.1,,4,3,1040.79
ORD000000163,DS001_20260701_I15,DS001,2026-07-01,15,2026-07-01 07:23:23,1.54,,9,6,2247.06
ORD000000164,DS001_20260701_I16,DS001,2026-07-01,16,2026-07-01 07:50:24,1.83,,4,3,950.46
ORD000000165,DS001_20260701_I16,DS001,2026-07-01,16,2026-07-01 07:53:21,1.2,,4,3,803.66
ORD000000166,DS001_20260701_I16,DS001,2026-07-01,16,2026-07-01 07:45:19,1.64,,5,4,1061.84
ORD000000167,DS001_20260701_I16,DS001,2026-07-01,16,2026-07-01 07:51:32,1.21,,7,5,1853.27
ORD000000168,DS001_20260701_I16,DS001,2026-07-01,16,2026-07-01 07:58:39,1.22,,3,2,770.77
ORD000000169,DS001_20260701_I16,DS001,2026-07-01,16,2026-07-01 07:43:28,2.28,,4,3,777.88
ORD000000170,DS001_20260701_I16,DS001,2026-07-01,16,2026-07-01 07:55:10,1.74,,8,5,2008.21
ORD000000171,DS001_20260701_I16,DS001,2026-07-01,16,2026-07-01 07:37:58,1.19,,5,4,1025.47
ORD000000172,DS001_20260701_I16,DS001,2026-07-01,16,2026-07-01 07:43:25,1.79,,4,3,858.33
ORD000000173,DS001_20260701_I16,DS001,2026-07-01,16,2026-07-01 07:52:07,1.43,,3,3,782.41
ORD000000174,DS001_20260701_I16,DS001,2026-07-01,16,2026-07-01 07:44:32,1.43,,7,5,860.84
ORD000000175,DS001_20260701_I16,DS001,2026-07-01,16,2026-07-01 07:58:08,1.8,,5,4,517.97
ORD000000176,DS001_20260701_I16,DS001,2026-07-01,16,2026-07-01 07:31:41,1.54,,6,4,1008.45
ORD000000177,DS001_20260701_I16,DS001,2026-07-01,16,2026-07-01 07:43:20,0.31,,4,3,1447.18
ORD000000178,DS001_20260701_I16,DS001,2026-07-01,16,2026-07-01 07:39:18,1.64,,7,6,1633.16
ORD000000179,DS001_20260701_I16,DS001,2026-07-01,16,2026-07-01 07:35:34,2.06,,7,5,1622.02
ORD000000180,DS001_20260701_I16,DS001,2026-07-01,16,2026-07-01 07:51:18,1.55,,6,5,1124.72
ORD000000181,DS001_20260701_I16,DS001,2026-07-01,16,2026-07-01 07:54:17,0.69,,2,2,469.79
ORD000000182,DS001_20260701_I16,DS001,2026-07-01,16,2026-07-01 07:36:40,1.85,,8,7,1804.93
ORD000000183,DS001_20260701_I16,DS001,2026-07-01,16,2026-07-01 07:48:33,1.26,,11,9,2459.18
ORD000000184,DS001_20260701_I16,DS001,2026-07-01,16,2026-07-01 07:52:57,1.8,,5,4,1027.29
ORD000000185,DS001_20260701_I16,DS001,2026-07-01,16,2026-07-01 07:59:50,1.26,,10,8,2162.39
ORD000000186,DS001_20260701_I16,DS001,2026-07-01,16,2026-07-01 07:56:33,0.62,,4,3,906.27
ORD000000187,DS001_20260701_I16,DS001,2026-07-01,16,2026-07-01 07:39:51,1.05,,8,6,1696.63
ORD000000188,DS001_20260701_I16,DS001,2026-07-01,16,2026-07-01 07:50:18,1.49,,4,3,442.93
ORD000000189,DS001_20260701_I16,DS001,2026-07-01,16,2026-07-01 07:35:33,0.46,,9,7,1621.94
ORD000000190,DS001_20260701_I16,DS001,2026-07-01,16,2026-07-01 07:57:14,1.41,,5,4,1227.51
ORD000000191,DS001_20260701_I16,DS001,2026-07-01,16,2026-07-01 07:45:41,1.34,,3,2,533.84
ORD000000192,DS001_20260701_I16,DS001,2026-07-01,16,2026-07-01 07:56:42,1.13,,4,3,502.81
ORD000000193,DS001_20260701_I16,DS001,2026-07-01,16,2026-07-01 07:55:18,2.28,,4,2,541.28
ORD000000194,DS001_20260701_I16,DS001,2026-07-01,16,2026-07-01 07:43:49,1.14,,5,4,606.61
ORD000000195,DS001_20260701_I16,DS001,2026-07-01,16,2026-07-01 07:37:56,2.21,,3,2,832.3
ORD000000196,DS001_20260701_I16,DS001,2026-07-01,16,2026-07-01 07:30:12,2.02,,4,4,1185.68
ORD000000197,DS001_20260701_I16,DS001,2026-07-01,16,2026-07-01 07:48:56,1.41,,9,7,1326.05
ORD000000198,DS001_20260701_I16,DS001,2026-07-01,16,2026-07-01 07:30:47,1.31,,7,5,1602.58
ORD000000199,DS001_20260701_I16,DS001,2026-07-01,16,2026-07-01 07:46:53,1.76,,5,3,1268.24
ORD000000200,DS001_20260701_I16,DS001,2026-07-01,16,2026-07-01 07:49:14,1.08,,7,5,1796.34
ORD000000201,DS001_20260701_I16,DS001,2026-07-01,16,2026-07-01 07:42:16,1.39,,6,4,1013.29
ORD000000202,DS001_20260701_I16,DS001,2026-07-01,16,2026-07-01 07:51:20,1.55,,4,3,803.88
ORD000000203,DS001_20260701_I16,DS001,2026-07-01,16,2026-07-01 07:32:22,1.13,,3,2,945.53
ORD000000204,DS001_20260701_I17,DS001,2026-07-01,17,2026-07-01 08:00:07,1.63,,17,15,3650.03
ORD000000205,DS001_20260701_I17,DS001,2026-07-01,17,2026-07-01 08:00:51,1.88,,4,3,849.2
ORD000000206,DS001_20260701_I17,DS001,2026-07-01,17,2026-07-01 08:17:32,0.63,,7,5,1427.5
ORD000000207,DS001_20260701_I17,DS001,2026-07-01,17,2026-07-01 08:23:06,1.4,,4,3,1160.66
ORD000000208,DS001_20260701_I17,DS001,2026-07-01,17,2026-07-01 08:20:10,2.03,,4,3,556.97
ORD000000209,DS001_20260701_I17,DS001,2026-07-01,17,2026-07-01 08:02:28,0.5,,9,7,1883.64
ORD000000210,DS001_20260701_I17,DS001,2026-07-01,17,2026-07-01 08:16:07,1.68,,4,3,1422.2
ORD000000211,DS001_20260701_I17,DS001,2026-07-01,17,2026-07-01 08:15:45,1.5,,3,2,1086.36
ORD000000212,DS001_20260701_I17,DS001,2026-07-01,17,2026-07-01 08:19:14,1.51,,4,3,935.53
ORD000000213,DS001_20260701_I17,DS001,2026-07-01,17,2026-07-01 08:22:44,0.92,,5,3,770.8
ORD000000214,DS001_20260701_I17,DS001,2026-07-01,17,2026-07-01 08:09:28,1.4,,9,7,1670.55
ORD000000215,DS001_20260701_I17,DS001,2026-07-01,17,2026-07-01 08:05:12,1.28,,4,3,558.8
ORD000000216,DS001_20260701_I17,DS001,2026-07-01,17,2026-07-01 08:04:27,1.97,,5,4,978.12
ORD000000217,DS001_20260701_I17,DS001,2026-07-01,17,2026-07-01 08:26:23,0.52,,6,5,1686.41
ORD000000218,DS001_20260701_I17,DS001,2026-07-01,17,2026-07-01 08:11:13,1.52,,5,3,1458.1
ORD000000219,DS001_20260701_I17,DS001,2026-07-01,17,2026-07-01 08:19:41,1.91,,4,3,1486.88
ORD000000220,DS001_20260701_I17,DS001,2026-07-01,17,2026-07-01 08:08:07,0.75,,5,4,936.3
ORD000000221,DS001_20260701_I17,DS001,2026-07-01,17,2026-07-01 08:16:17,0.79,,8,7,1775.92
ORD000000222,DS001_20260701_I17,DS001,2026-07-01,17,2026-07-01 08:20:37,0.95,,8,6,1946.56
ORD000000223,DS001_20260701_I17,DS001,2026-07-01,17,2026-07-01 08:07:53,0.73,,8,7,1835.44
ORD000000224,DS001_20260701_I17,DS001,2026-07-01,17,2026-07-01 08:03:47,0.67,,2,1,134.3
ORD000000225,DS001_20260701_I17,DS001,2026-07-01,17,2026-07-01 08:11:13,0.5,,2,1,892.06
ORD000000226,DS001_20260701_I17,DS001,2026-07-01,17,2026-07-01 08:17:39,1.15,,5,3,1311.66
ORD000000227,DS001_20260701_I17,DS001,2026-07-01,17,2026-07-01 08:02:40,1.91,,2,2,109.29
ORD000000228,DS001_20260701_I17,DS001,2026-07-01,17,2026-07-01 08:14:11,2.12,,2,2,1072.6
ORD000000229,DS001_20260701_I17,DS001,2026-07-01,17,2026-07-01 08:14:17,0.96,,8,6,908.95
ORD000000230,DS001_20260701_I17,DS001,2026-07-01,17,2026-07-01 08:26:02,0.32,,7,5,1841.94
ORD000000231,DS001_20260701_I17,DS001,2026-07-01,17,2026-07-01 08:11:22,1.26,,5,3,831.51
ORD000000232,DS001_20260701_I17,DS001,2026-07-01,17,2026-07-01 08:26:26,2.4,,5,4,697.95
ORD000000233,DS001_20260701_I17,DS001,2026-07-01,17,2026-07-01 08:25:40,1.28,,6,4,2205.65
ORD000000234,DS001_20260701_I17,DS001,2026-07-01,17,2026-07-01 08:04:44,1.41,,5,4,1727.02
ORD000000235,DS001_20260701_I17,DS001,2026-07-01,17,2026-07-01 08:15:36,1.06,,4,3,323.81
ORD000000236,DS001_20260701_I17,DS001,2026-07-01,17,2026-07-01 08:13:51,2.11,,5,3,565.71
ORD000000237,DS001_20260701_I17,DS001,2026-07-01,17,2026-07-01 08:07:13,1.69,,8,5,1715.86
ORD000000238,DS001_20260701_I17,DS001,2026-07-01,17,2026-07-01 08:12:29,1.67,,6,4,1323.73
ORD000000239,DS001_20260701_I17,DS001,2026-07-01,17,2026-07-01 08:09:14,2.29,,3,2,345.99
ORD000000240,DS001_20260701_I17,DS001,2026-07-01,17,2026-07-01 08:22:11,0.38,,7,6,1342.15
